課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
12-1,5,先,xiān,Adv,first,trước tiên,1
12-1,6,念,niàn,V,to study,học,1
12-1,7,大學,dàxué,N,university,đại học,1
12-1,8,需要,xūyào,Vst,to need,cần,1
12-1,9,花,huā,V,to spend (time or money),tiêu (thời gian hoặc tiền bạc),1
12-1,10,獎學金,jiǎngxuéjīn,N,scholarship,học bổng,1
12-1,11,成績,chéngjī,N,grades,điểm số,1
12-1,12,學費,xuéfèi,N,tuition,học phí,1
12-1,13,公司,gōngsī,N,company,công ty,1
12-1,14,替,tì,Prep,"for, on behalf of","thay cho, nhân danh",1
12-1,15,希望,xīwàng,Vst,to hope,hy vọng,1
12-1,16,以後,yǐhòu,N,in the future,trong tương lai,1
12-1,17,到,dào,V,to go/come to,đi/đến,1
12-1,18,上班,shàngbān,V-sep,to go to work,đi làm,1
12-1,19,念書,niànshū,V-sep,to study,học hành,1
12-1,20,累,lèi,Vs,tired,mệt,1
12-1,21,語言中心,yǔyán zhōngxīn,,language center,trung tâm ngôn ngữ,1
12-1,22,加油,jiāyóu,,keep up the good work,Cố lên!,1
12-2,1,工作,gōngzuò,Vi,to work,làm việc,1
12-2,2,去年,qùnián,N,last year,năm ngoái,1
12-2,3,做 ,zuò,V,"to do, to engage in ","làm, tham gia vào",1
12-2,4,生意,shēngyì,N,business,kinh doanh,1
12-2,5,以後,yǐhòu,N,afterwards,sau đó,1
12-2,6,好,hǎo,Vs,easy to ,dễ,1
12-2,7,找,zhǎo,V,to look for,tìm kiếm,1
12-2,8,工作,gōngzuò,N,"job, work",công việc,1
12-2,9,這樣,zhèyàng,N,this kind (of),loại này,1
12-2,10,國家,guójiā,N,country,quốc gia,1
12-2,11,試,shì,Vi,to try,thử,1
12-2,12,難,nán,Vs,"hard to, difficult to ",khó,1
12-2,13,那麼,nàme,Ptc,then,vậy thì,1
12-2,14,再,zài,Adv,again,lại,1
12-2,15,試試看,shìshìkàn,,"to give it a try,to try and see what happens",thử xem,1
13-1,1,生日,shēngrì,N,birthday,sinh nhật,1
13-1,2,快樂,kuàilè,Vs,happy,"vui vẻ, hạnh phúc",1
13-1,3,回來,huílái,Vi,to come back,trở về,1
13-1,4,啊,a,Ptc,a particle indicating a realization,trợ từ chỉ sự nhận ra,1
13-1,5,怎麼,zěnme,Adv,How come?,Tại sao?,1
13-1,6,忘（了）,wàngle,Vpt,to forget,quên,1
13-1,7,記得,jìdé,Vst,to remember,nhớ,1
13-1,8,當然,dāngrán,Adv,"certainly, of course","chắc chắn, dĩ nhiên",1
13-1,9,語言,yǔyán,N,language,ngôn ngữ,1
13-1,10,交換,jiāohuàn,V,to exchange,trao đổi,1
13-1,11,那麼,nàme,Adv,so (very),rất (nhiều),1
13-1,12,熱心,rèxīn,Vs,with enthusiasm,nhiệt tình,1
13-1,13,西班牙文,Xībānyá wén,N,the Spanish language,tiếng Tây Ban Nha,1
13-1,14,一樣,yíyàng,Vs,"the same, alike","giống nhau, tương tự",1
13-1,15,過,guò ,V,to celebrate,"kỷ niệm, tổ chức",1
13-1,16,左右,zuǒyòu,N,approximately ,khoảng chừng,1
13-1,17,門口,ménkǒu,N,"gate, entrance","cổng, lối vào",1
13-1,18,西班牙,Xībānyá,,Spain,Tây Ban Nha,1
13-1,19,生日快樂,shēngrì kuàilè,,Happy Birthday,Chúc mừng sinh nhật,1
13-1,20,我就是,wǒ jiù shì,,(said of self on the phone) This is s/he speaking.,(nói về bản thân khi nghe điện thoại) Tôi đây.,1
13-1,21,好久不見,hǎojiǔ bújiàn,,long time no see,Lâu rồi không gặp.,1
13-1,22,不必客氣,búbì kèqì,,"No need to stand on formalities, i.e., It’s my pleasure.",Không cần khách sáo.,1
13-1,23,太客氣,tài kèqì,,That’s very kind of you.,Anh/chị quá khách sáo.,1
13-2,1,禮物,lǐwù,N,"gift, present",quà tặng,1
13-2,2,今年,jīnnián,N,this year,năm nay,1
13-2,3,訂,dìng,V,to order (something in advance ),đặt (trước),1
13-2,4,了,le,Ptc,verbal particle indicating a completed action,trợ từ chỉ hành động đã hoàn thành,1
13-2,5,豬腳,zhūjiǎo ,N,pork knuckles,giò heo,1
13-2,6,麵線,miànxiàn ,N,extra fine noodles,mì sợi nhỏ,1
13-2,7,蛋,dàn,N,egg,trứng,1
13-2,8,一點,yìdiǎn,Vs,"a little, some","một chút, một ít",1
13-2,9,傳統,chuántǒng,N,"tradition, customs","truyền thống, phong tục",1
13-2,10,年輕,niánqīng,Vs,young,trẻ,1
13-2,11,蛋糕,dàngāo,N,cake,bánh ngọt,1
13-2,12,對,duì ,Prep,to,đối với,1
13-2,13,祝,zhù,V,"to wish (somebody happiness, good luck, etc.)","chúc (ai đó hạnh phúc, may mắn, v.v.)",1
13-2,14,哪裡，哪裡,"Nǎlǐ, nǎlǐ",,Don’t mention it.It’s my pleasure.,Đừng khách sáo. Đó là niềm vinh hạnh của tôi.,1
13-2,15,大部分,dà bùfèn,,"most (of), mostly","hầu hết, phần lớn",1
13-2,16,萬事如意,wànshì rúyì,,May everything go your way.,Vạn sự như ý.,1
13-2,17,心想事成,xīnxiǎng shìchéng,,May all your wishes come true.,Mọi điều ước đều thành hiện thực.,1
14-1,1,天氣,tiānqì,N,weather,thời tiết,1
14-1,2,冷,lěng,Vs,cold,lạnh,1
14-1,3,風,fēng,N,wind,gió,1
14-1,4,滑雪,huáxuě,V-sep,to ski,trượt tuyết,1
14-1,5,春天,chūntiān,N,spring (season),mùa xuân,1
14-1,6,想,xiǎng,Vst,to miss (someone),nhớ (ai đó),1
14-1,7,新年,xīnnián,N,New Year,Năm mới,1
14-1,8,快,kuài,Adv,soon,sớm,1
14-1,9,父母,fùmǔ,N,parents,cha mẹ,1
14-1,10,冬天,dōngtiān,N,winter (season),mùa đông,1
14-1,11,明年,míngnián,N,next year,năm sau,1
14-1,12,秋天,qiūtiān,N,autumn (season),mùa thu,1
14-1,13,紅葉,hóngyè,N,red maple leaves,lá phong đỏ,1
14-1,14,只,zhǐ,Adv,"only, merely","chỉ, đơn thuần",1
14-1,15,玉山,Yùshān,,"Yu Shan (Mount Jade), tallest mountain in central Taiwan",Ngọc Sơn (núi cao nhất ở trung tâm Đài Loan),1
14-1,16,紐約,Niǔyuē,,New York,New York,1
14-1,17,下雪,xiàxuě,,to snow,tuyết rơi,1
14-1,18,十二月底,shí’èryuè dǐ,,the end of December,cuối tháng Mười Hai,1
14-2,1,雨,yǔ,N,rain,mưa,1
14-2,2,傘,sǎn,N,umbrella,ô,1
14-2,3,颱風,táifēng,N,typhoon,bão,1
14-2,4,要,yào,Vaux,"will, going to","sẽ, sắp",1
14-2,5,夏天,xiàtiān,N,summer (season),mùa hè,1
14-2,6,濕,shī,Vs,wet,ướt,1
14-2,7,討厭,tǎoyàn,Vs,annoying,khó chịu,1
14-2,8,新聞,xīnwén,N,news,tin tức,1
14-2,9,更,gèng,Adv,"even (more, less, etc.)","thậm chí (hơn, kém, v.v.)",1
14-2,10,大家,dàjiā,N,everyone,mọi người,1
14-2,11,小心,xiǎoxīn,Vs,"to be careful, to take care",cẩn thận,1
14-2,12,可怕,kěpà,Vs,scary,đáng sợ,1
14-2,13,停,tíng,Vp,to stop,dừng lại,1
14-2,14,下雨,xiàyǔ,,to rain,mưa rơi,1
14-2,15,這次,zhè cì,,this time,lần này,1
14-2,16,上次,shàng cì,,last time,lần trước,1
14-2,17,慢走,màn zǒu ,,Bye. Take care.,Tạm biệt. Bảo trọng nhé.,1
15-1,1,醫生,yīshēng,N,doctor,bác sĩ,1
15-1,2,一直,yìzhí,Adv,"continuously, all the way","liên tục, suốt",1
15-1,3,流,liú,V,to flow,chảy,1
15-1,4,鼻水,bíshuǐ,N,"snot,nasal mucus,a running nose","nước mũi, sổ mũi",1
15-1,5,頭,tóu,N,head,đầu,1
15-1,6,痛,tòng,Vs,painful,đau,1
15-1,7,胃口,wèikǒu,N,appetite,"khẩu vị, sự thèm ăn",1
15-1,8,差,chā ,Vs,"poor, bad","kém, tệ",1
15-1,9,喉嚨,hóulóng,N,throat,cổ họng,1
15-1,10,發炎,fāyán,Vp-sep,to be inflamed,bị viêm,1
15-1,11,生病,shēngbìng,Vp,to fall ill,bị ốm,1
15-1,12,發燒,fāshāo,Vp-sep,to have a fever,bị sốt,1
15-1,13,感冒,gǎnmào,Vp,to catch/have a cold,cảm lạnh,1
15-1,14,藥,yào,N,medicine,thuốc,1
15-1,15,藥局,yàojú,N,"pharmacy, drug store",hiệu thuốc,1
15-1,16,拿,ná,V,to get,lấy,1
15-1,17,把,bǎ,Ptc,disposal marker,trợ từ xử lý (bǎ),1
15-1,18,水,shuǐ,N,water,nước,1
15-1,19,休息,xiūxí,Vi,to take a rest,nghỉ ngơi,1
15-1,20,睡覺,shuìjiào,V-sep,to sleep,ngủ,1
15-1,21,早一點,zǎo yìdiǎn,,a bit earlier,sớm hơn một chút,1
15-2,1,臉色,liǎnsè ,N,"a person’s “color” (said of the face when healthy or sick, pleased or angry etc.)",sắc mặt,1
15-2,2,難看,nánkàn,Vs,not to look good,không được ưa nhìn,1
15-2,3,肚子,dùzi,N,"stomach, abdomen",bụng,1
15-2,4,吐,tù,V,"to throw up, to vomit","nôn, mửa",1
15-2,5,幾,jǐ,N,(a) few,(một) vài,1
15-2,6,次,cì,M,"measure word for times, occurrences","lượng từ cho lần, lần xảy ra",1
15-2,7,陪,péi,V,"to go/stay with somebody, to accompany","đi cùng ai đó, đi kèm",1
15-2,8,看病,kànbìng,V-sep,to see a doctor,đi khám bệnh,1
15-2,9,健康,jiànkāng,N,health,sức khỏe,1
15-2,10,保險,bǎoxiǎn,N,insurance,bảo hiểm,1
15-2,11,跟,gēn,Prep,to,"với, cho",1
15-2,12,油,yóu,Vs,"oily, greasy","dầu mỡ, béo",1
15-2,13,冰,bīng,Vs,icy,đá lạnh,1
15-2,14,別,bié,Adv,don't (used in imperatives),đừng (dùng trong mệnh lệnh),1
15-2,15,關心,guānxīn,Vs,to be concerned about,quan tâm đến,1
15-2,16,包,bāo,M,"measure word for bags, packages etc.","lượng từ cho túi, gói, v.v.",1
15-2,17,睡,shuì,Vi,to sleep,ngủ,1
15-2,18,小時,xiǎoshí,N,hour,giờ đồng hồ,1
15-2,19,怎麼了,zěnme le,,What’s wrong?,Có chuyện gì vậy?,1
15-2,20,不用了,búyòng le,,It’s not necessary.,Không cần đâu.,1
15-2,21,健康中心,jiànkāng zhōngxīn ,,health center,trung tâm y tế,1
15-2,22,回家,huí jiā,,go home,về nhà,1
15-2,23,最好,zuìhǎo,,It would be best…/ (You) should…,Tốt nhất là... / (Bạn) nên...,1
