課-序號,序號,生詞,漢拼,詞類,越譯,泰譯,緬譯,日譯,韓譯,韓譯,冊
5-1,15,一定,yídìng,Adv,nhất định,ต้อง...แน่ๆ (tong...nae nae),မဖြစ်မနေ (ma phyit ma nay),絶対に (zettai ni),꼭 / 반드시 (kkok / bandeusi),,1
5-1,16,點,diǎn,V,gọi món,สั่งอาหาร (sang a han),မှာသည် (hmar thi),注文する (chūmon suru),주문하다 (jumunhada),,1
5-1,17,碗,wǎn,M,một bát,หนึ่งชาม (nueng cham),ပန်းကန်လုံး (pan kan lone),一杯（の） (ippai no),한 그릇 (han geureut),,1
5-1,18,是 啊,shì a,,Đúng vậy.,ถูกต้อง (thuk tong),ဟုတ်တယ် (hoke tal),その通り (sono tōri),맞아요 (majayo),,1
5-1,19,小籠包,xiǎolóngbāo,,tiểu long bao,เสี่ยวหลงเปา (siao long pao),ရှောက်လုံပေါက် (shauk long pauk),小籠包 (shōronpō),샤오롱바오 (syaorongbao),,1
5-1,20,臭豆腐,chòu dòufǔ,,đậu phụ thối,เต้าหู้เหม็น (tao hu men),တို့ဟူးပုပ် (to hu pote),臭豆腐 (shūdōfu),취두부 (chwidubu),,1
5-1,21,太好了,tài hǎo le,,Tuyệt vời.,เยี่ยม (yiam),အရမ်းကောင်း (a yan kaung),素晴らしい (subarashii),훌륭하다 (hullyunghada),,1
5-2,1,昨天,zuótiān,N,hôm qua,เมื่อวาน (muea wan),မနေ့က (ma nay ka),昨日 (kinō),어제 (eoje),,1
5-2,2,餐廳,cāntīng,N,nhà hàng,ร้านอาหาร (ran a han),စားသောက်ဆိုင် (sar thauk saing),レストラン (resutoran),식당 / 레스토랑 (sikdang / reseutorang),,1
5-2,3,可是,kěshì,Conj,nhưng,แต่ (tae),ဒါပေမယ့် (dar pay mal),しかし (shikashi),하지만 / 그러나 (hajiman / geureona),,1
5-2,4,辣,là,Vs,cay,เผ็ด (phet),စပ်သည် (sat thi),辛い (karai),맵다 (maepda),,1
5-2,5,怕,pà,Vst,sợ / không thích,กลัว (klua),ကြောက်သည် (kyauk thi),恐れる / 苦手 (osoreru / nigate),무서워하다 / 싫어하다 (museowohada / sireohada),,1
5-2,6,所以,suǒyǐ,Conj,vì thế,เพราะฉะนั้น (phro cha nan),ဒါကြောင့် (dar kyaung),したがって (shitagatte),그러므로 (geureomeuro),,1
5-2,7,自己,zìjǐ,N,bản thân,ตัวเอง (tua eng),ကိုယ်တိုင် (ko taing),自分 (jibun),자신 / 스스로 (jasin / seuseuro),,1
5-2,8,做飯,zuòfàn,V-sep,nấu ăn,ทำอาหาร (tham a han),ချက်သည် (chet thi),料理する (ryōri suru),요리하다 (yorihada),,1
5-2,9,得,de,Ptc,trợ từ kết quả,(คำแสดงผลลัพธ์),(ရလဒ်ပြပစ္စည်း),補語マーカー (hogo mākā),보어 표지 (boeo pyoji),,1
5-2,10,會,huì,Vaux,có thể,ได้ (dai),တတ်သည် (tat thi),できる (dekiru),할 수 있다 (hal su itda),,1
5-2,11,甜點,tiándiǎn,N,tráng miệng,ของหวาน (khong wan),အချိုပွဲ (a cho pwal),デザート (dezāto),디저트 / 후식 (dijeoteu / husik),,1
5-2,12,不錯,búcuò,Vs,không tệ,ไม่เลว (mai leo),မဆိုးပါဘူး (ma so par bu),悪くない (warukunai),나쁘지 않다 (nappeuji anta),,1
5-2,13,可以,kěyǐ,Vaux,có lẽ,อาจจะ (at cha),ဖြစ်နိုင်သည် (pyit naing thi),あり得る (ariuru),~일 수도 있다 (il sudo itda),,1
5-2,14,教,jiāo,V,dạy,สอน (son),သင်သည် (thin thi),教える (oshieru),가르치다 (gareuchida),,1
5-2,15,到,dào,Prep,đến / tới,ถึง (thueng),သို့ (thoe),へ (he),~에 (e),,1
5-2,16,有一點,yǒu yìdiǎn,,một chút,นิดหน่อย (nit noi),နည်းနည်း (nel nel),少し (sukoshi),조금 (jogeum),,1
5-2,17,不好,bù hǎo,,không tốt,ไม่ค่อยดี (mai khoi dee),မကောင်း (ma kaung),良くない (yokunai),좋지 않다 (jochi anta),,1
6-1,1,他們,tāmen,N,họ,พวกเขา (phuak khao),သူတို့ (thu toe),彼ら (karera),그들 (geudeul),,1
6-1,2,學校,xuéxiào,N,trường học,โรงเรียน (rong rian),ကျောင်း (kyaung),学校 (gakkō),학교 (hakgyo),,1
6-1,3,在,zài,Vst,ở tại,อยู่ที่ (yu thee),ရှိသည် (shi thi),位置する (ichisuru),위치하다 (wichihada),,1
6-1,4,山上,shānshàng,N,trên núi,บนภูเขา (bon phu khao),တောင်ပေါ် (taung paw),山の上 (yama no ue),산 위에 (san wie),,1
6-1,5,哪裡,nǎlǐ,N,ở đâu,ที่ไหน (thee nai),ဘယ်မှာ (bal hmar),どこ (doko),어디 (eodi),,1
6-1,6,遠,yuǎn,Vs,xa,ไกล (klai),ဝေး (way),遠い (tōi),멀다 (meolda),,1
6-1,7,那裡,nàlǐ,N,chỗ đó,ที่นั่น (thee nan),ဟိုမှာ (ho hmar),あそこ (asoko),거기 (geogi),,1
6-1,8,風景,fēngjǐng,N,phong cảnh,ทิวทัศน์ (thio that),ရှုခင်း (shu khin),景色 (keshiki),경치 (gyeongchi),,1
6-1,9,美,měi,Vs,đẹp,สวยงาม (suai ngam),လှပ (hla pa),美しい (utsukushii),아름답다 (areumdapda),,1
6-1,10,前面,qiánmiàn,N,phía trước,ข้างหน้า (khang na),အရှေ့ (a shay),前 (mae),앞 (ap),,1
6-1,11,海,hǎi,N,đại dương / biển,มหาสมุทร (ma ha sa mut),ပင်လယ် (pin lal),海 (umi),바다 (bada),,1
6-1,12,後面,hòumiàn,N,phía sau,ข้างหลัง (khang lang),အနောက် (a nauk),後ろ (ushiro),뒤 (dwi),,1
6-1,13,山,shān,N,núi,ภูเขา (phu khao),တောင် (taung),山 (yama),산 (san),,1
6-1,14,真的,zhēnde,Adv,thật sự,จริงๆ (jing jing),တကယ် (ta kal),本当に (hontō ni),정말 (jeongmal),,1
6-1,15,地方,dìfāng,N,nơi / chốn,สถานที่ (sa than thee),နေရာ (nay yar),場所 (basho),장소 (jangso),,1
6-1,16,現在,xiànzài,N,bây giờ,ตอนนี้ (ton nee),အခု (a khu),今 (ima),지금 (jigeum),,1
6-1,17,附近,fùjìn,N,gần đây,แถวนี้ (thaeo nee),အနီးအနား (a nee a nar),付近 (fukin),근처 (geuncheo),,1
6-1,18,樓下,lóuxià,N,dưới lầu,ชั้นล่าง (chan lang),အောက်ထပ် (auk htat),階下 (kaika),아래층 (araecheung),,1
6-1,19,找,zhǎo,V,gặp,เจอ (choe),တွေ့သည် (tway thi),会う (au),만나다 (mannada),,1
6-1,20,朋友,péngyǒu,N,bạn bè,เพื่อน (phuean),သူငယ်ချင်း (thu nge chin),友達 (tomodachi),친구 (chingu),,1
6-1,21,上課,shàngkè,V-sep,đi học,เข้าเรียน (khao rian),ကျောင်းတက်သည် (kyaung tet thi),授業に出る (jugyō ni deru),수업에 가다 (sueop-e gada),,1
6-1,22,花蓮,Huālián,,Hoa Liên,ฮวาเหลียน (hua lian),ဟွာလျန် (hua lian),花蓮 (karen),화롄 (hwaryen),,1
6-1,23,聽說,tīngshuō,,nghe nói,ได้ยินว่า (dai yin wa),ကြားတာက (kyar tar ka),～だと聞く (da to kiku),~라고 듣다 (rago deutda),,1
6-2,1,近,jìn,Vs,gần,ใกล้ (klai),နီး (nee),近い (chikai),가깝다 (gakkapda),,1
6-2,2,方便,fāngbiàn,Vs,thuận tiện,สะดวก (sa duak),အဆင်ပြေ (a sin pyay),便利 (benri),편리하다 (pyeollihada),,1
6-2,3,這裡,zhèlǐ,N,ở đây,ที่นี่ (thee nee),ဒီမှာ (de hmar),ここ (koko),여기 (yeogi),,1
6-2,4,學生,xuéshēng,N,học sinh,นักเรียน (nak rian),ကျောင်းသား (kyaung thar),学生 (gakusei),학생 (haksaeng),,1
6-2,5,在,zài,Prep,tại,ที่ (thee),မှာ (hmar),で (de),~에 (e),,1
6-2,6,東西,dōngxi,N,đồ vật,ของ (khong),ပစ္စည်း (pyit see),物 (mono),물건 (mulgeon),,1
6-2,7,外面,wàimiàn,N,bên ngoài,ข้างนอก (khang nok),အပြင် (a pyin),外 (soto),밖 (bak),,1
6-2,8,裡面,lǐmiàn,N,bên trong,ข้างใน (khang nai),အထဲ (a htel),中 (naka),안 (an),,1
6-2,9,商店,shāngdiàn,N,cửa hàng,ร้านค้า (ran kha),ဆိုင် (saing),店 (mise),가게 (gage),,1
6-2,10,吃飯,chīfàn,V-sep,ăn cơm,ทานข้าว (than khao),ထမင်းစားသည် (hta min sar thi),食事をする (shokuji o suru),식사하다 (siksahada),,1
6-2,11,宿舍,sùshè,N,ký túc xá,หอพัก (ho phak),အဆောင် (a saung),寮 (ryō),기숙사 (gisuksa),,1
6-2,12,樓,lóu,N,tầng,ชั้น (chan),ထပ် (htat),階 (kai),층 (cheung),,1
6-2,13,棟,dòng,M,tòa (nhà),ตึก (tuek),လုံး (lone),棟 (tō),동 / 채 (dong / chae),,1
6-2,14,大樓,dàlóu,N,tòa nhà,ตึกสูง (tuek sung),တိုက် (tike),ビル (biru),빌딩 (bilding),,1
6-2,15,圖書館,túshūguǎn,N,thư viện,ห้องสมุด (hong sa mut),စာကြည့်တိုက် (sar kyi tike),図書館 (toshokan),도서관 (doseogwan),,1
6-2,16,旁邊,pángbiān,N,bên cạnh,ข้างๆ (khang khang),ဘေး (bay),横 (yoko),옆 (yeop),,1
6-2,17,教室,jiàoshì,N,lớp học,ห้องเรียน (hong rian),စာသင်ခန်း (sar thin khan),教室 (kyōshitsu),교실 (gyosil),,1
6-2,18,游泳池,yóuyǒngchí,N,hồ bơi,สระว่ายน้ำ (sa wai nam),ရေကူးကန် (yay ku kan),プール (pūru),수영장 (suyeongjang),,1
7-1,1,點,diǎn,M,giờ,นาฬิกา (na li ka),နာရီ (nar yi),時 (ji),시 (si),,1
7-1,2,KTV,,N,Karaoke,คาราโอเกะ (kha ra o ke),ကာရာအိုကေ (ka ra o kay),カラオケ (karaoke),노래방 (noraebang),,1
7-1,3,唱歌,chànggē,V-sep,hát,ร้องเพลง (rong phleng),သီချင်းဆိုသည် (thi chin so thi),歌う (utau),노래하다 (noraehada),,1
7-1,4,分,fēn,M,phút,นาที (na thee),မိနစ် (mi nit),分 (fun),분 (bun),,1
7-1,5,見面,jiànmiàn,V-sep,gặp,เจอ (choe),တွေ့ (tway),会う (au),만나다 (mannada),,1
7-1,6,從,cóng,Prep,từ,จาก (chak),မှ (hma),から (kara),~에서 / ~부터 (eseo / buteo),,1
7-1,7,中午,zhōngwǔ,N,buổi trưa,เที่ยง (thiang),နေ့လည် (nay lal),正午 (shōgo),정오 (jeongo),,1
7-1,8,得,děi,Vaux,phải,ต้อง (tong),ရမည် (ya myi),なければならない (nakereba naranai),해야 한다 (haeya handa),,1
7-1,9,銀行,yínháng,N,ngân hàng,ธนาคาร (tha na khan),ဘဏ် (ban),銀行 (ginkō),은행 (eunhaeng),,1
7-1,10,時候,shíhòu,N,khi nào,เมื่อไหร่ (muea rai),ဘယ်တော့ (bal daw),いつ (itsu),언제 (eonje),,1
7-1,11,後天,hòutiān,N,ngày kia,มะรืนนี้ (ma ruen nee),သဘက်ခါ (tha bet kha),明後日 (asatte),모레 (more),,1
7-1,12,大安,Dà’ān,,Đại An,ต้าอัน (ta an),တာအန်း (da an),大安 (daian),다안 (da-an),,1
7-1,13,下次,xià cì,,lần sau,คราวหน้า (khrao na),နောက်တခါ (nauk ta kha),次回 (jikai),다음 번 (daeum beon),,1
7-1,14,沒問題,méi wèntí,,Không sao.,ไม่มีปัญหา (mai mee pan ha),ပြဿနာမရှိပါ (pyat tha nar ma shi par),問題ない (mondai nai),문제 없다 (munje eopda),,1
7-1,15,對了,duìle,,nhân tiện,ว่าแต่... (wa tae),ဒါနဲ့ (dar nel),ところで (tokorode),그런데 (geureonde),,1
7-1,16,有空,yǒu kòng,,rảnh rỗi,ว่าง (wang),အားသည် (ar thi),暇がある (hima ga aru),시간 있다 (sigan itda),,1
7-1,17,再見,zàijiàn,,Tạm biệt.,ลาก่อน (la kon),နှုတ်ဆက်ပါတယ် (hnoke set par tal),さようなら (sayōnara),안녕히 가세요 (annyeonghi gaseyo),,1
7-2,1,在,zài,Vs,đang,กำลัง (kam lang),နေသည် (nay thi),～している (shite iru),~고 있다 (go itda),,1
7-2,2,午餐,wǔcān,N,bữa trưa,อาหารกลางวัน (a han klang wan),နေ့လည်စာ (nay lal sar),昼食 (chūshoku),점심 (jeomsim),,1
7-2,3,剛,gāng,Adv,vừa mới,เมื่อกี้ (muea kee),ခုနက (khu na ka),さっき (sakki),방금 (banggeum),,1
7-2,4,下課,xiàkè,V-sep,tan học,เลิกเรียน (loek rian),ကျောင်းဆင်း (kyaung sin),授業が終わる (jugyō ga owaru),수업이 끝나다 (sueobi kkeunnada),,1
7-2,5,下午,xiàwǔ,N,buổi chiều,ตอนบ่าย (ton bai),နေ့လည် (nay lal),午後 (gogo),오후 (ohu),,1
7-2,6,半,bàn,N,một nửa,ครึ่ง (khueng),တစ်ဝက် (ta wet),半分 (hanbun),반 (ban),,1
7-2,7,比賽,bǐsài,N,trận đấu,การแข่งขัน (kan khaeng khan),ပြိုင်ပွဲ (pyaing pwal),試合 (shiai),시합 / 경기 (sihap / gyeonggi),,1
7-2,8,結束,jiéshù,Vp,kết thúc,เสร็จ / จบ (set / jop),ပြီးသည် (pyi thi),終わる (owaru),끝나다 (kkeunnada),,1
7-2,9,最近,zuìjìn,N,gần đây,ช่วงนี้ (chuang nee),မကြာသေးခင်က (ma kyar thay khin ka),最近 (saikin),최근 (choegeun),,1
7-2,10,忙,máng,Vs,bận,ยุ่ง (yung),အလုပ်ရှုပ် (a loke shoke),忙しい (isogashii),바쁘다 (bappeuda),,1
7-2,11,每,měi,Det,mỗi,ทุกๆ (thuk thuk),တိုင်း (taing),毎～ (mai),매~ (mae),,1
7-2,12,天,tiān,M,ngày (lượng từ),วัน (wan),ရက် (yet),日 (nichi),일 (il),,1
7-2,13,書法,shūfǎ,N,thư pháp,พู่กันจีน (phu kan jeen),လက်ရေးလှ (let yay hla),書道 (shodō),서예 (seoye),,1
7-2,14,課,kè,N,lớp học / giờ học,ชั้นเรียน (chan rian),အတန်း (a tan),授業 (jugyō),수업 (sueop),,1
7-2,15,開始,kāishǐ,Vp,bắt đầu,เริ่ม (roem),စသည် (sa thi),始まる (hajimaru),시작하다 (sijakhada),,1
7-2,16,字,zì,N,chữ,ตัวอักษร (tua ak son),စာလုံး (sar lone),文字 (moji),글자 (geulja),,1
7-2,17,寫,xiě,V,viết,เขียน (khian),ရေးသည် (yay thi),書く (kaku),쓰다 (sseuda),,1
7-2,18,可以,kěyǐ,Vaux,có thể (xin phép),ขอ...ได้ไหม (kho dai mai),ရမလား (ya ma lar),～してもいい (shite mo ii),~해도 되다 (haedo doeda),,1
7-2,19,問,wèn,V,hỏi,ถาม (tham),မေးသည် (may thi),聞く (kiku),묻다 (mutda),,1
7-2,20,等一下,děng yíxià,,lát nữa / sau,เดี๋ยว (diao),နောက်မှ (nauk hma),後で (atode),나중에 (najung-e),,1
7-2,21,有事,yǒu shì,,bận rộn,ยุ่ง (yung),အလုပ်ရှုပ် (a loke shoke),忙しい (isogashii),바쁘다 (bappeuda),,1
7-2,22,有意思,yǒu yìsi,,thú vị,น่าสนใจ (na son jai),စိတ်ဝင်စားစရာ (sate win sar sa yar),面白い (omoshiroi),재미있다 (jaemiitda),,1
8-1,1,坐,zuò,V,đi bằng,นั่ง (nang),စီးသည် (see thi),乗る (noru),타다 (tada),,1
8-1,2,火車,huǒchē,N,tàu hỏa,รถไฟ (rot fai),မီးရထား (mee ya htar),電車 (densha),기차 (gicha),,1
8-1,3,跟,gēn,Prep,với,กับ (kap),နှင့်အတူ (nin a tu),と (to),~와/과 (wa/gwa),,1
8-1,4,玩,wán,V,vui vẻ,สนุก (sa nuk),ပျော်သည် (pyaw thi),楽しむ (tanoshimu),즐기다 (jeulgida),,1
8-1,5,怎麼,zěnme,Adv,thế nào,ยังไง (yang ngai),ဘယ်လို (bal lo),どうやって (dōyatte),어떻게 (eotteoke),,1
8-1,6,慢,màn,Vs,chậm,ช้า (cha),နှေး (hnay),遅い (osoi),느리다 (neurida),,1
8-1,7,鐘頭,zhōngtóu,N,giờ,ชั่วโมง (chua mong),နာရီ (nar yi),時間 (jikan),시간 (sigan),,1
8-1,8,比較,bǐjiào,Adv,hơn,กว่า (kwa),ပို (po),より (yori),더 (deo),,1
8-1,9,快,kuài,Vs,nhanh,เร็ว (reo),မြန် (myan),速い (hayai),빠르다 (ppareuda),,1
8-1,10,車票,chēpiào,N,vé,ตั๋ว (tua),လက်မှတ် (let hmat),切符 (kippu),표 (pyo),,1
8-1,11,非常,fēicháng,Adv,rất,มาก (mak),သိပ် (thate),とても (totemo),아주 (aju),,1
8-1,12,但是,dànshì,Conj,nhưng,แต่ (tae),ဒါပေမယ့် (dar pay mal),しかし (shikashi),하지만 (hajiman),,1
8-1,13,又,yòu,Adv,vừa...vừa...,ทั้ง...และ... (thang...lae),...ရော...ရော (yaw...yaw),両方 (ryōhō),둘 다 (dul da),,1
8-1,14,舒服,shūfú,Vs,thoải mái,สบาย (sa bai),သက်တောင့်သက်သာ (thet taunt thet thar),快適 (kaiteki),편안하다 (pyeonanhada),,1
8-1,15,站,zhàn,N,trạm / ga,สถานี (sa tha nee),ဘူတာ (bu tar),駅 (eki),역 (yeok),,1
8-1,16,或是,huòshì,Conj,hoặc,หรือ (rue),သို့မဟုတ် (thoe ma hoke),または (matawa),또는 (ttoneun),,1
8-1,17,臺南,Táinán,,Đài Nam,ไถหนาน (thai nan),ထိုင်နန် (tai nan),台南 (tainan),타이난 (tainan),,1
8-1,18,高鐵,gāotiě,,Tàu cao tốc,รถไฟความเร็วสูง (rot fai khwam reo sung),အမြန်ရထား (a myan ya htar),新幹線 (shinkansen),고속 열차 (gosok yeolcha),,1
8-1,19,網路上,wǎnglù shàng,,trên mạng,บนอินเทอร์เน็ต (bon in thoe net),အင်တာနက်ပေါ် (internet paw),ネットで (netto de),인터넷에서 (inteoneseseo),,1
8-1,20,便利商店,biànlì shāngdiàn,,cửa hàng tiện lợi,ร้านสะดวกซื้อ (ran sa duak sue),စတိုးဆိုင် (store saing),コンビニ (konbini),편의점 (pyeonuijeom),,1
8-2,1,同學,tóngxué,N,bạn cùng lớp,เพื่อนร่วมชั้น (phuean ruam chan),အတန်းဖော် (a tan phaw),同級生 (dōkyūsei),반 친구 (ban chingu),,1
8-2,2,參觀,cānguān,V,tham quan,เยี่ยมชม (yiam chom),လည်ပတ်သည် (lal pat thi),訪問する (hōmon suru),방문하다 (bangmunhada),,1
8-2,3,古代,gǔdài,N,thời xưa,โบราณ (bo ran),ရှေးခေတ် (shay khit),古代 (kodai),고대 (godae),,1
8-2,4,騎,qí,V,cưỡi / lái,ขี่ (khee),စီးသည် (see thi),乗る (noru),타다 (tada),,1
8-2,5,機車,jīchē,N,xe máy,มอเตอร์ไซค์ (mo toe sai),ဆိုင်ကယ် (saing kal),バイク (baiku),오토바이 (otobai),,1
8-2,6,載,zài,V,chở ai đó,ไปส่ง (pai song),လိုက်ပို့သည် (like po thi),送る (okuru),태워주다 (taewojuda),,1
8-2,7,捷運,jiéyùn,N,tàu điện ngầm,รถไฟฟ้า MRT (rot fai fa MRT),မြေအောက်ရထား (myay auk ya htar),地下鉄 (chikatetsu),지하철 (jihacheol),,1
8-2,8,比,bǐ,Prep,hơn,กว่า (kwa),ထက် (htet),～より (yori),~보다 (boda),,1
8-2,9,故宮博物院（故宮）,Gùgōng Bówùyuàn,,Bảo tàng Cố cung,พิพิธภัณฑ์กู้กง (phi phi tha phan ku kong),နန်းတော်ပြတိုက် (nan daw pya tike),故宮博物院 (kokyū hakubutsuin),고궁 박물관 (gogung bangmulgwan),,1
8-2,10,中國,Zhōngguó,,Trung Quốc,จีน (jeen),တရုတ် (ta yoke),中国 (chūgoku),중국 (jungguk),,1
8-2,11,公共汽車（公車）,gōnggòng ,,xe buýt,รถเมล์ (rot me),ဘတ်စ်ကား (bus car),バス (basu),버스 (beoseu),,1
8-2,12,不行,bù xíng,,không được,ไม่ได้ (mai dai),မရဘူး (ma ya bu),だめ (dame),안 된다 (an doenda),,1
8-2,13,計程車,jìchéngchē,,taxi,แท็กซี่ (thaek see),တက္ကစီ (taxi),タクシー (takushī),택시 (taeksi),,1
8-2,14,差不多,chābùduō,,gần như nhau,พอๆ กัน (pho pho kan),တူတူလောက် (tu tu lauk),同じくらい (onaji kurai),거의 같다 (geoui gatda),,1
9-1,1,星期+number,xīngqí,N,tuần,สัปดาห์ (sap da),ပတ် (pat),週 (shū),주 (ju),,1
9-1,2,回國,huíguó,V-sep,về nước,กลับประเทศ (klap pra thet),နိုင်ငံပြန်သည် (naing ngan pyan thi),帰国する (kikoku suru),귀국하다 (gwigukhada),,1
9-1,3,打算,dǎsuàn,Vaux,dự định,วางแผน (wang phaen),စီစဉ်သည် (si sin thi),計画する (keikaku suru),계획하다 (gyehoekhada),,1
9-1,4,電視,diànshì,N,ti vi,ทีวี (thi wi),တီဗီ (TV),テレビ (terebi),텔레비전 (tellebijeon),,1
9-1,5,影片,yǐngpiàn,N,phim,หนัง (nang),ရုပ်ရှင် (yoke shin),映画 (eiga),영화 (yeonghwa),,1
9-1,6,旅行,lǚxíng,Vi,đi du lịch,ท่องเที่ยว (thong thiao),ခရီးသွားသည် (kha yee thwar thi),旅行する (ryokō suru),여행하다 (yeohaenghada),,1
9-1,7,功課,gōngkè,N,bài tập,การบ้าน (kan ban),အိမ်စာ (ein sar),宿題 (shukudai),숙제 (sukje),,1
9-1,8,出去,chūqù,Vi,đi ra ngoài,ออกไปข้างนอก (ok pai khang nok),အပြင်သွားသည် (a pyin thwar thi),出かける (dekakeru),외출하다 / 나가다 (oechulhada / nagada),,1
9-1,9,大概,dàgài,Adv,khoảng,ประมาณ (pra man),လောက် (lauk),およそ (oyoso),대략 (daeryak),,1
9-1,10,放假,fàngjià,,nghỉ lễ,หยุดงาน (yut ngan),အားလပ်ရက်ယူသည် (ar lat yet yu thi),休みを取る (yasumi o toru),휴가를 보내다 (hyuga-reul bonaeda),,1
9-1,11,下個星期,xià ge xīngqí,,tuần sau,อาทิตย์หน้า (a thit na),နောက်အပတ် (nauk a pat),来週 (raishū),다음 주 (daeum ju),,1
9-1,12,有時候,yǒu shíhòu,,thỉnh thoảng,บางครั้ง (bang khrang),တခါတလေ (ta kha ta lay),時々 (tokidoki),가끔 (gakkeum),,1
9-1,13,多久,duō jiǔ,,bao lâu,นานแค่ไหน (nan khae nai),ဘယ်လောက်ကြာ (bal lauk kyar),どのくらい (donokurai),얼마나 (eolmana),,1
9-1,14,臺東,Táidōng,,Đài Đông,ไถตง (thai tong),တိုင်တုန် (tai tung),台東 (taitō),타이동 (taidong),,1
9-2,1,女+noun,nǚ ,N,nữ,หญิง (ying),အမျိုးသမီး (a myo tha mee),女 (onna),여자 (yeoja),,1
9-2,2,number+月,yuè,N,tháng,เดือน (duean),လ (la),月 (tsuki),월 (wol),,1
9-2,3,number+號,hào,N,ngày,วันที่ (wan thee),ရက် (yet),日付 (hizuke),날짜 (naljja),,1
9-2,4,帶,dài,V,lấy,เอา (ao),ယူသည် (yu thi),取る (toru),가지다 (gajida),,1
9-2,5,她,tā,N,cô ấy,เธอ (thoe),သူ (thu),彼女 (kanojo),그녀 (geunyeo),,1
9-2,6,還,hái,Adv,vẫn / còn,ยัง (yang),သေး (thay),まだ (mada),아직 (ajik),,1
9-2,7,建議,jiànyì,N,gợi ý,ข้อเสนอแนะ (kho sa noe nae),အကြံပြုချက် (a kyan pyu chet),提案 (teian),제안 (jean),,1
9-2,8,夜市,yèshì,N,chợ đêm,ตลาดนัดกลางคืน (ta lat nat klang khuen),ညဈေး (nya zay),夜市 (yoichi),야시장 (yasijang),,1
9-2,9,應該,yīnggāi,Vaux,nên,ควร (khuan),သင့်သည် (tint thi),～すべき (subeki),~해야 한다 (haeya handa),,1
9-2,10,逛,guàng,V,đi dạo,เดินเล่น (doen len),လမ်းလျှောက်သည် (lan shauk thi),ぶらぶらする (burabura suru),돌아다니다 (doradanida),,1
9-2,11,特別,tèbié,Vs,đặc biệt,พิเศษ (phi set),အထူး (a htoo),特別 (tokubetsu),특별하다 (teukbyeolhada),,1
9-2,12,茶館,cháguǎn,N,quán trà,โรงน้ำชา (rong nam cha),လက်ဖက်ရည်ဆိုင် (lat hpet yay saing),茶館 (chakan),찻집 (chatjip),,1
9-2,13,決定,juédìng,Vp,quyết định,ตัดสินใจ (tat sin jai),ဆုံးဖြတ်သည် (sone phyat thi),決める (kimeru),결정하다 (gyeoljeonghada),,1
9-2,14,要是,yàoshì,Conj,nếu,ถ้า (tha),အကယ်၍ (a kal yue),もし (moshi),만약 (manyak),,1
9-2,15,就,jiù,Adv,thì,ก็ (ko),ဆိုရင် (so yin),それなら (sorenara),그러면 (geureomyeon),,1
9-2,16,貓空,Māokōng,,Mao Không (địa danh),เมาคง (mao khong),မောင်ကုန်း (mao kong),猫空 (maokong),마오콩 (maokong),,1
10-1,1,水果,shuǐguǒ,N,trái cây,ผลไม้ (phon la mai),သစ်သီး (thit thee),果物 (kudamono),과일 (gwail),,1
10-1,2,黃色,huángsè,N,màu vàng,สีเหลือง (see lueang),အဝါရောင် (a war yaung),黄色 (kiiro),노란색 (noransaek),,1
10-1,3,芒果,mángguǒ,N,xoài,มะม่วง (ma muang),သရက်သီး (tha yet thee),マンゴー (mangō),망고 (manggo),,1
10-1,4,給,gěi,V,đưa / cho,ให้ (hai),ပေးသည် (pay thi),あげる (ageru),주다 (juda),,1
10-1,5,塊,kuài,M,miếng,ชิ้น (chin),တုံး (tone),切れ (kire),조각 (jogak),,1
10-1,6,香,xiāng,Vs,thơm,หอม (hom),မွှေးသည် (hmway thi),香ばしい (kōbashii),향기롭다 (hyanggiropda),,1
10-1,7,甜,tián,Vs,ngọt,หวาน (wan),ချိုသည် (cho thi),甘い (amai),달다 (dalda),,1
10-1,8,紅色,hóngsè,N,đỏ,แดง (daeng),အနီရောင် (a ni yaung),赤 (aka),빨간색 (bbalgansaek),,1
10-1,9,西瓜,xīguā,N,dưa hấu,แตงโม (taeng mo),ဖရဲသီး (pha ye thee),スイカ (suika),수박 (subak),,1
10-1,10,吧,ba,Ptc,nhỉ,...มั้ง (mang),လား (lar),～かな (kana),~인가 (inga),,1
10-1,11,對,duì,Vs,đúng,ถูก (thuk),မှန်သည် (hman thi),正しい (tadashii),맞다 (matda),,1
10-1,12,以前,yǐqián,N,trước,ก่อน (kon),အရင် (a yin),前 (mae),전 (jeon),,1
10-1,13,機會,jīhuì,N,cơ hội,โอกาส (o kat),အခွင့်အရေး (a khwint a yay),機会 (kikai),기회 (gihoe),,1
10-1,14,請,qǐng,V,mời / chiêu đãi,เลี้ยง (liang),ကျွေးသည် (kyway thi),おごる (ogoru),대접하다 (daejeophada),,1
10-1,15,吃吃看,chīchīkàn,,nếm thử,ชิม (chim),မြည်းသည် (myi thi),味見する (ajimi suru),맛보다 (matboda),,1
10-2,1,拍,pāi,V,chụp,ถ่าย (thai),ရိုက်သည် (yaik thi),撮る (toru),찍다 (jjikda),,1
10-2,2,笑,xiào,V,cười,หัวเราะ (hua ro),ရယ်သည် (yi thi),笑う (warau),웃다 (utda),,1
10-2,3,開心,kāixīn,Vs,vui vẻ,มีความสุข (mee khwam suk),ပျော်ရွှင်သည် (pyaw shwin thi),幸せ (shiawase),행복하다 (haengbokhada),,1
10-2,4,穿,chuān,V,mặc,ใส่ (sai),ဝတ်သည် (wut thi),着る (kiru),입다 (ipda),,1
