課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
9-1,5.     ,夠,gòu,Vs-pred,enough,đủ,2
9-1,6.     ,顏色,yánsè,N,color,màu sắc,2
9-1,7.     ,廟,miào,N,temple,"đền, miếu",2
9-1,8.     ,像,xiàng,Vst,similar to,giống với,2
9-1,9.     ,教堂,jiàotáng,N,"church, cathedral",nhà thờ,2
9-1,10.  ,南部,nánbù,N,southern region,miền nam,2
9-1,11.  ,潛水,qiánshuǐ ,V-sep,"to dive (i.e., snorkel or scuba diving)",lặn (có ống thở hoặc bình dưỡng khí),2
9-1,12.  ,各,gè ,Det,various,"các, nhiều",2
9-1,13.  ,魚,yú,N,fish,cá,2
9-1,14.  ,酸,suān,Vs,"sour, tart",chua,2
9-1,15.  ,檸檬,níngméng,N,"lemon, lime",chanh,2
9-1,16.  ,味道,wèidào,N,"taste, flavor",hương vị,2
9-1,17.  ,泰國,Tàiguó,,Thailand,Thái Lan,2
9-1,18.  ,比起來,bǐ qǐlái,,compared to,so với,2
9-1,19.  ,極了,jí le,,"absolutely, extremely","cực kỳ, tuyệt vời",2
9-1,20.  ,忘不了,wàng bù liǎo,,unforgettable,không thể quên,2
9-2,1.     ,鄉下,xiāngxià,N,countryside,nông thôn,2
9-2,2.     ,氣氛,qìfēn,N,atmosphere,bầu không khí,2
9-2,3.     ,鎮,zhèn,N,rural town,thị trấn,2
9-2,4.     ,不同,bùtóng,Vs,different,khác biệt,2
9-2,5.     ,現代,xiàndài,N,modern,hiện đại,2
9-2,6.     ,公寓,gōngyù,N,apartment,căn hộ,2
9-2,7.     ,馬路,mǎlù,N,street,đường phố,2
9-2,8.     ,寬,kuān,Vs,wide,rộng,2
9-2,9.     ,汽車,qìchē ,N,car,ô tô,2
9-2,10.  ,建築,jiànzhú,N,buildings,công trình kiến trúc,2
9-2,11.  ,老,lǎo,Vs,old,cũ,2
9-2,12.  ,層,céng,M,measure word for floors and storeys,lượng từ cho tầng lầu,2
9-2,13.  ,北部,běibù,N,the north,miền bắc,2
9-2,14.  ,熱情,rèqíng,Vs,"hospitable, welcoming, warmhearted","hiếu khách, nhiệt tình",2
9-2,15.  ,擠,jǐ,Vs,crowded,đông đúc,2
9-2,16.  ,飲料,yǐnliào,N,"drink, beverage",đồ uống,2
9-2,17.  ,巴黎,Bālí,,Paris,Paris,2
9-2,18.  ,高雄市,Gāoxióng Shì,,Kaohsiung City in southern Taiwan,Thành phố Cao Hùng (Đài Loan),2
9-2,19.  ,中南部,zhōngnánbù,,central and southern regions,miền trung và nam,2
9-2,20.  ,買得起,mǎi de qǐ ,,"afford, affordable","có khả năng mua, hợp túi tiền",2
9-2,21.  ,百貨公司,bǎihuò gōngsī,,department store,cửa hàng bách hóa,2
9-2,22.  ,越來越,yuèláiyuè,,"more and more, increasingly",ngày càng,2
10-1,1.        ,馬丁,Mǎding ,,"Martin, a man from the UK",Martin (một người đàn ông từ Anh),2
10-1,2.        ,包,bāo,V,to wrap,gói,2
10-1,3.        ,餃子,jiǎozi ,N,dumplings,"bánh bao, sủi cảo",2
10-1,4.        ,脫,tuō,V,"to remove, to take off (clothing)","cởi (quần áo, giày)",2
10-1,5.        ,鞋,xié,N,shoes,giày,2
10-1,6.        ,關,guān,V,to close,đóng,2
10-1,7.        ,門,mén,N,door,cửa,2
10-1,8.        ,春捲,chūnjuǎn,N,spring rolls,chả giò,2
10-1,9.        ,泡菜,pàocài,N,"kimchi, pickled vegetables","kim chi, rau muối chua",2
10-1,10.     ,飯廳,fàntīng,N,dining room,phòng ăn,2
10-1,11.     ,下,xià,Ptc,to have enough space to accommodate,trợ từ chỉ đủ chỗ chứa,2
10-1,12.     ,洗,xǐ ,V,to wash,rửa,2
10-1,13.     ,做菜,zuòcài,V-sep,to cook,nấu ăn,2
10-1,14.     ,水餃,shuǐjiǎo,N,dumplings (when boiled in water),sủi cảo (luộc),2
10-1,15.     ,煮,zhǔ,V,"to cook, to boil","nấu, đun sôi",2
10-1,16.     ,壞,huài,Vp,to go bad,hỏng,2
10-1,17.     ,破, pò ,Vp,"to break, to split open","vỡ, rách",2
10-1,18.     ,餡兒,xiànr,N,filling,nhân (bánh),2
10-1,19.     ,扁,biǎn,Vs,flat,dẹt,2
10-1,20.     ,材料,cáiliào,N,ingredients,nguyên liệu,2
10-1,21.     ,道,dào ,M,measure word for dishes of food,lượng từ cho món ăn,2
10-1,22.     ,飽,bǎo,Vs,"to have eaten enough, to be full",no,2
10-1,23.     ,光,guāng,Vp,"to be finished, none left",hết sạch,2
10-1,24.     ,鍋子,guōzi,N,"pot, kettle, pan, wok","nồi, chảo",2
10-1,25.     ,筷子,kuàizi,N,chopsticks,đũa,2
10-1,26.     ,碗,wǎn,N,bowl,bát,2
10-1,27.     ,韓國,Hánguó,,(South) Korea,Hàn Quốc,2
10-1,28.     ,看不出來,kàn bù chūlái,,"It does not occur to me that…, can’t tell (i.e., ascertain)","Không nhận ra rằng..., không thể phân biệt",2
10-1,29.     ,酸辣湯,suānlà tāng,,hot and sour soup,canh chua cay,2
10-2,1.        ,學期,xuéqí,N,semester,học kỳ,2
10-2,2.        ,趁,chèn,Prep,"while, take advantage of","nhân lúc, tận dụng",2
10-2,3.        ,皮,pí,N,"skin, wraps","vỏ, da (bánh)",2
10-2,4.        ,嚐,cháng,V,"to savor, to taste",nếm thử,2
10-2,5.        ,大白菜,dàbáicài,N,Chinese cabbage,cải thảo,2
10-2,6.        ,加,jiā,V,to add,thêm vào,2
10-2,7.        ,鹽,yán,N,salt,muối,2
10-2,8.        ,拌,bàn,V,"to stir, to mix","trộn, khuấy",2
10-2,9.        ,辣椒,làjiāo,N,chili peppers,ớt,2
10-2,10.     ,調味料,tiáowèiliào,N,seasonings,gia vị,2
10-2,11.     ,裝,zhuāng,V,to pack into,đóng gói vào,2
10-2,12.     ,玻璃,bōlí ,N,glass,thủy tinh,2
10-2,13.     ,壽司,shòusī ,N,sushi,sushi,2
10-2,14.     ,像,xiàng,Vst,such as; like,"chẳng hạn như, giống như",2
10-2,15.     ,食物,shíwù,N,food,thực phẩm,2
10-2,16.     ,做起來,zuò qǐlái,,"when undertaken, to do","khi làm, để làm",2
11-1,1.     ,其他,qítā ,Det,"other, the other, the remaining","khác, những cái còn lại",2
11-1,2.     ,假期,jiàqí,N,"vacation, holiday",kỳ nghỉ,2
11-1,3.     ,溫泉,wēnquán ,N,hot springs,suối nước nóng,2
11-1,4.     ,建議,jiànyì,V,"to suggest, to recommand","đề nghị, gợi ý",2
11-1,5.     ,票,piào ,N,ticket,vé,2
11-1,6.     ,考慮,kǎolǜ ,V,to consider,cân nhắc,2
11-1,7.     ,順便,shùnbiàn ,Adv,"without making any extra effort, on the way, while doing something else, while one is at it","tiện thể, nhân tiện",2
11-1,8.     ,湖,hú ,N,lake,hồ,2
11-1,9.     ,原住民,yuánzhùmín ,N,aborigines,thổ dân,2
11-1,10.  ,趟,tàng ,M,measure word for a trip,lượng từ cho chuyến đi,2
11-1,11.  ,後來,hòulái ,Adv,later,sau này,2
11-1,12.  ,注意,zhùyì ,V,to pay attention to,chú ý đến,2
11-1,13.  ,沙灘,shātān ,N,beach,bãi biển,2
11-1,14.  ,錢包,qiánbāo,N,"wallet, purse","ví, bóp",2
11-1,15.  ,不見,bújiàn,Vp,"to be lost, to disappear","bị mất, biến mất",2
11-1,16.  ,被,bèi ,Ptc,a particle marking a passive sentence,trợ từ bị động,2
11-1,17.  ,偷,tōu,V,to steal,ăn cắp,2
11-1,18.  ,安全,ānquán ,Vs,safe,an toàn,2
11-1,19.  ,值得,zhíde ,Vs,"worthwhile, worth",đáng giá,2
11-1,20.  ,墾丁,Kěndīng,,"Kenting, an area on the southern tip of Taiwan, famed for beaches and rain forest",Kenting (khu vực phía nam Đài Loan),2
11-1,21.  ,台中,Táizhōng,,"Taichung city, in central Taiwan",Thành phố Đài Trung,2
11-1,22.  ,日月潭,Rìyuè Tán,,"Sun Moon Lake, in central Taiwan",Hồ Nhật Nguyệt,2
11-1,23.  ,水上活動,shuǐshàng huódòng ,,"water activities,water recreation",hoạt động dưới nước,2
11-1,24.  ,風景區,fēngjǐngqū,,scenic area,khu danh lam thắng cảnh,2
11-2,1.     ,又,yòu,Adv,then,rồi thì,2
11-2,2.     ,遍,biàn,M,measure word for number of times,lượng từ cho số lần,2
11-2,3.     ,民宿,mínsù,N,Bed & Breakfast lodgings,nhà nghỉ Bed & Breakfast,2
11-2,4.     ,運氣,yùnqì ,N,luck,vận may,2
11-2,5.     ,摩托車,mótuōchē ,N,motorcycle,xe máy,2
11-2,6.     ,熱帶,rèdài ,N,tropical region,vùng nhiệt đới,2
11-2,7.     ,植物,zhíwù,N,plants,thực vật,2
11-2,8.     ,所有,suǒyǒu,Vs-attr,all ,tất cả,2
11-2,9.     ,白天,báitiān ,N,in the daytime,ban ngày,2
11-2,10.  ,躺,tǎng ,Vi,to lie down,nằm xuống,2
11-2,11.  ,黃昏,huánghūn ,N,dusk,hoàng hôn,2
11-2,12.  ,條,tiáo ,M,measure word for street,lượng từ cho đường phố,2
11-2,13.  ,街,jiē ,N,street,đường phố,2
11-2,14.  ,啤酒,píjiǔ,N,beer,bia,2
11-2,15.  ,上,shàng,Ptc,a verb particle indicating the coming into contact between two nouns,trợ từ chỉ sự tiếp xúc giữa hai danh từ,2
11-2,16.  ,又,yòu,Conj,and,và,2
11-2,17.  ,浪漫,làngmàn,Vs,romantic,lãng mạn,2
11-2,18.  ,家鄉,jiāxiāng,N,"hometown, usually a village",quê hương (thường là làng),2
11-2,19.  ,觀光客,guānguāngkè ,,tourist,khách du lịch,2
11-2,20.  ,曬太陽,shài tàiyáng,,to sunbathe,tắm nắng,2
11-2,21.  ,水上摩托車,shuǐshàng mótuōchē ,,jet skis,xe mô tô nước,2
11-2,22.  ,愛上,àishàng,,to fall in love with,"yêu, phải lòng",2
12-1,1.        ,新,xīn ,Adv,newly,mới,2
12-1,2.        ,開,kāi,V,to open (business),mở (kinh doanh),2
12-1,3.        ,素食,sùshí ,N,vegetarian food,đồ ăn chay,2
12-1,4.        ,速食,sùshí ,N,fast food,đồ ăn nhanh,2
12-1,5.        ,錯,cuò ,Vp,"to be mistaken, wrong","sai, nhầm",2
12-1,6.        ,肉,ròu,N,meat,thịt,2
12-1,7.        ,欸,èi ,Ptc,"an interjection particle, calling for attention",này (từ cảm thán gây sự chú ý),2
12-1,8.        ,讓,ràng ,V,"to let, to make","để, khiến",2
12-1,9.        ,吃素,chīsù ,V-sep,"to be a vegetarian, to eat vegetarian food",ăn chay,2
12-1,10.     ,漢堡,hànbǎo ,N,hamburger,bánh hamburger,2
12-1,11.     ,變,biàn,Vp,to become,trở nên,2
12-1,12.     ,胖,pàng,Vs,fat,béo,2
12-1,13.     ,素菜,sùcài ,N,"vegetarian food, dishes",món chay,2
12-1,14.     ,油膩,yóunì,Vs,"oily, greasy",nhiều dầu mỡ,2
12-1,15.     ,樣,yàng ,M,"measure word for dishes, kinds","lượng từ cho món ăn, loại",2
12-1,16.     ,好奇,hàoqí,Vs,"curious, to wonder",tò mò,2
12-1,17.     ,女孩,nǚhái,N,girl,cô gái,2
12-1,18.     ,青菜,qīngcài ,N,vegetables,rau xanh,2
12-1,19.     ,瘦,shòu ,Vs,thin,gầy,2
12-1,20.     ,室友,shìyǒu,N,roommate,bạn cùng phòng,2
12-1,21.     ,豬肉,zhūròu ,N,pork,thịt lợn,2
12-1,22.     ,西方,xīfāng,N,"the West, western",phương Tây,2
12-1,23.     ,完全,wánquán ,Adv,completely,hoàn toàn,2
12-1,24.     ,鹹,xián,Vs,salty,mặn,2
12-1,25.     ,炸,zhá,V,to deep fry,chiên ngập dầu,2
12-1,26.     ,烤,kǎo ,V,"to grill, to roast, to BBQ","nướng, BBQ",2
12-1,27.     ,沙拉,shālā ,N,salad,salad,2
12-1,28.     ,麥當勞,Màidāngláo ,,McDonald’s,McDonald's,2
12-1,29.     ,速食店,Sùshí diàn,,fast food restaurant,cửa hàng đồ ăn nhanh,2
12-2,1,只要,zhǐyào ,Conj,as long as,miễn là,2
12-2,2.        ,討厭,tǎoyàn,Vst,to dislike,"ghét, không thích",2
12-2,3.        ,餐,cān ,M,measure word for meal,lượng từ cho bữa ăn,2
12-2,4.        ,宗教,zōngjiào ,N,religion,tôn giáo,2
12-2,5.        ,關係,guānxi ,N,relationship,mối quan hệ,2
12-2,6.        ,薯條,shǔtiáo,N,French fries,khoai tây chiên,2
12-2,7.        ,作法,zuòfǎ ,N,"way of doing something, e.g., cooking",cách làm,2
12-2,8.        ,越,yuè ,Adv,more,càng,2
12-2,9.        ,簡單,jiǎndān,Vs,simple,đơn giản,2
12-2,10.     ,蒸,zhēng ,V,to steam,hấp,2
12-2,11.     ,有機,yǒujī ,Vs-attr,organic,hữu cơ,2
12-2,12.     ,食品,shípǐn ,N,food,thực phẩm,2
12-2,13.     ,地球,dìqiú ,N,the earth,trái đất,2
12-2,14.     ,汙染,wūrǎn ,N,pollution,ô nhiễm,2
12-2,15.     ,嚴重,yánzhòng ,Vs,serious,nghiêm trọng,2
12-2,16.     ,衛生,wèishēng ,N,hygiene,vệ sinh,2
12-2,17.     ,營養,yíngyǎng,N,nutrition,dinh dưỡng,2
12-2,18.     ,什麼的,shénmede,,things like (that); etc.,"những thứ như vậy, vân vân",2
13-1,1.     ,林愛麗,Lín àilì,,"Lin Aili, a woman from Canada",Lâm Ái Lệ (một phụ nữ từ Canada),2
13-1,2.     ,掉,diào,Vp,to lose,làm mất,2
13-1,3.     ,低頭,dītóu,V-sep,to lower one’s head,cúi đầu,2
13-1,4.     ,傳,chuán,V,"to send (text message, email)","gửi (tin nhắn, email)",2
13-1,5.     ,過,guò ,Ptc,a phase particle indicating completion of an action,trợ từ chỉ sự hoàn thành hành động,2
13-1,6.     ,簡訊,jiǎnxùn ,N,text message,tin nhắn văn bản,2
13-1,7.     ,功能,gōngnéng ,N,function,chức năng,2
13-1,8.     ,生氣,shēngqì ,Vs-sep,to get angry at,tức giận,2
13-1,9.     ,叫,jiào ,V,to tell,"bảo, kêu",2
13-1,10.  ,罵,mà ,V,"to yell at, to scold, to tell off","mắng, quở trách",2
13-1,11.  ,健身房,jiànshēnfáng ,N,gym,phòng tập gym,2
13-1,12.  ,啦,la,Ptc,"a sentence-final particle indicating a question, 了+啊",trợ từ cuối câu (了+啊),2
13-1,13.  ,查,chá ,V,"to check, to look up (for information)","kiểm tra, tra cứu",2
13-1,14.  ,班機,bānjī ,N,flight,chuyến bay,2
13-1,15.  ,訂位,dìngwèi ,V-sep,to make reservations,đặt chỗ,2
13-1,16.  ,電,diàn,N,electric power,điện,2
13-1,17.  ,充電,chōngdiàn ,V-sep,to charge (the battery of an electronic device),sạc (pin),2
13-1,18.  ,糊塗,hútú ,Vs,muddle-headed,đãng trí,2
13-1,19.  ,喔,ō,Ptc,a sentence-final particle indicating a suggestion,trợ từ cuối câu chỉ gợi ý,2
13-1,20.  ,義大利,Yìdàlì ,,Italy,Ý,2
13-1,21.  ,拿走,názǒu ,,to take away,lấy đi,2
13-1,22.  ,撿到,jiǎndào ,,"to find something, to pick up",nhặt được,2
13-1,23.  ,留下,liúxià,,to keep for oneself,giữ lại cho bản thân,2
13-2,1.     ,網路,wǎnglù,N,the internet,internet,2
13-2,2.     ,發生,fāshēng ,Vp,to happen,xảy ra,2
13-2,3.     ,事情,shìqíng ,N,"event, happening","sự kiện, chuyện xảy ra",2
13-2,4.     ,消息,xiāoxí,N,"news, information","tin tức, thông tin",2
13-2,5.     ,透過,tòuguò ,Prep,through,thông qua,2
13-2,6.     ,世界,shìjiè ,N,the world,thế giới,2
13-2,7.     ,節省,jiéshěng,V,to save,tiết kiệm,2
13-2,8.     ,起床,qǐchuáng ,Vp-sep,to get out of bed,ra khỏi giường,2
13-2,9.     ,檢查,jiǎnchá,V,to check,kiểm tra,2
13-2,10.  ,郵件,yóujiàn ,N,mail,thư (điện tử),2
13-2,11.  ,立刻,lìkè ,Adv,immediately,ngay lập tức,2
13-2,12.  ,上傳,shàngchuán ,V,"to upload, to post","tải lên, đăng",2
13-2,13.  ,正常,zhèngcháng ,Vs,to be normal,bình thường,2
13-2,14.  ,談,tán ,V,"to talk over, to talk about, to discuss","nói chuyện, thảo luận",2
13-2,15.  ,現代人,xiàndài rén ,,"modern day people, people today",con người hiện đại,2
13-2,16.  ,比方說,bǐfāng shuō ,,for example,ví dụ,2
13-2,17.  ,做到,zuòdào,,"to be able to achieve, to succeed in doing","có thể đạt được, thành công trong việc làm",2
13-2,18.  ,第一手,dìyīshǒu,,first hand,trực tiếp (first hand),2
13-2,19.  ,急著,jízhe,,in a hurry to,đang vội,2
13-2,20.  ,打招呼,dǎ zhāohū ,,to greet someone; to say hello; to wave at someone,chào hỏi,2
13-2,21.  ,面對面,miàn duì miàn,,face-to-face,mặt đối mặt,2
14-1,1.     ,將來,jiānglái ,N,the future,tương lai,2
14-1,2.     ,徵求,zhēngqiú ,V,"to seek, to invite applications for","tìm kiếm, mời ứng tuyển",2
14-1,3.     ,教師,jiàoshī ,N,instructor,"giáo viên, giảng viên",2
14-1,4.     ,認為,rènwéi,Vst,"to have the opinion that, to think","cho rằng, nghĩ rằng",2
14-1,5.     ,畢業,bìyè ,Vp-sep,to graduate,tốt nghiệp,2
14-1,6.     ,發展,fāzhǎn ,V,to develop,phát triển,2
14-1,7.     ,連,lián,Prep,even,ngay cả,2
14-1,8.     ,想法,xiǎngfǎ,N,"thoughts, way of thinking, idea","suy nghĩ, ý tưởng",2
14-1,9.     ,不但,búdàn ,Conj,not only,không chỉ,2
14-1,10.  ,繼續,jìxù ,Vaux,to continue,tiếp tục,2
14-1,11.  ,使用,shǐyòng ,V,"to make use of, to use",sử dụng,2
14-1,12.  ,實現,shíxiàn ,Vp,"to come true, to realize",trở thành hiện thực,2
14-1,13.  ,招待,zhāodài ,V,"to entertain, to play host to","chiêu đãi, tiếp đón",2
14-1,14.  ,研究所,yánjiùsuǒ ,N,graduate school,trường sau đại học,2
14-1,15.  ,聚,jù,Vi,to get together,tụ tập,2
14-1,16.  ,香港,Xiānggǎng ,,Hong Kong,Hồng Kông,2
14-1,17.  ,上海,Shànghǎi ,,Shanghai,Thượng Hải,2
14-1,18.  ,說到,shuōdào ,,to mention,nhắc đến,2
14-1,19.  ,念完,niànwán,,to complete (an academic program),học xong,2
14-1,20.  ,分公司,fēngōngsī ,,branch office,văn phòng chi nhánh,2
14-1,21.  ,捨不得,shěbùdé,,reluctant to part with,"lưu luyến, không nỡ rời xa",2
14-1,22.  ,聚一聚,jù yí jù,,get together,tụ tập một chút,2
14-2,1.             ,當時,Adv,,at that time,vào thời điểm đó,2
14-2,2.              ,聲調,shēngdiào ,N,tones,thanh điệu,2
14-2,3.              ,發音,fāyīn ,N,pronunciation,phát âm,2
14-2,4.     ,準,zhǔn ,Vs,to be accurate,chính xác,2
14-2,5.     ,企業,qìyè ,N,enterprise,doanh nghiệp,2
14-2,6.     ,管理,guǎnlǐ ,N,management,quản lý,2
14-2,7.     ,系,xì,N,academic department (of a university),khoa (đại học),2
14-2,8.     ,經濟,jīngjì,N,economy,kinh tế,2
14-2,9.     ,幫助,bāngzhù,N,help,sự giúp đỡ,2
14-2,10.  ,有關,yǒuguān ,Vst,to be related to,có liên quan đến,2
14-2,11.  ,語法,yǔfǎ ,N,"syntax, grammar",ngữ pháp,2
14-2,12.  ,研究,yánjiù ,V,to do research in,nghiên cứu,2
14-2,13.  ,教書,jiāoshū,V-sep,to teach,dạy học,2
14-2,14.  ,方法,fāngfǎ ,N,"method, approach",phương pháp,2
14-2,15.  ,目的,mùdì ,N,"goal, objective","mục đích, mục tiêu",2
14-2,16.  ,國際,guójì ,Vs-attr,international,quốc tế,2
14-2,17.  ,翻譯,fānyì ,N,"translator, interpreter",phiên dịch viên,2
14-2,18.  ,外交,wàijiāo,N,"diplomacy, foreign affairs",ngoại giao,2
14-2,19.  ,人員,rényuán ,N,"staff, personnel",nhân viên,2
14-2,20.  ,充實,chōngshí,V,"to enrich, to strengthen","làm phong phú, củng cố",2
14-2,21.  ,專業,zhuānyè ,N,"profession, specialisation","chuyên ngành, nghề nghiệp",2
14-2,22.  ,能力,nénglì ,N,"capacity, ability",năng lực,2
14-2,23.  ,加拿大,Jiānádà ,,Canada,Canada,2
14-2,24.  ,企業管理系（企管系）,qìyè guǎnlǐ xì ,,department of business management,khoa quản trị kinh doanh,2
14-2,25.  ,國際關係,guójì guānxì,,international relations,quan hệ quốc tế,2
15-1,1,春節,chūnjié,N,"the Lunar New Year, the Spring Festival",Tết Nguyên Đán,2
15-1,2,伯伯,bóbo ,N,"(older) uncle, friends’ fathers in general",bác (bạn của cha),2
15-1,3,年夜飯,niányèfàn ,N,Lunar New Year’s Eve dinner,bữa tối Giao thừa,2
15-1,4,打擾,dǎrǎo ,V,"to trouble (someone), to disturb",làm phiền,2
15-1,5,女兒,nǚ’ér ,N,daughter,con gái,2
15-1,6,國外,guówài ,N,abroad,nước ngoài,2
15-1,7,圍爐,wéilú,V-sep,for a family to gather over Lunar New Year’s Eve dinner,quây quần bên bữa tối Giao thừa,2
15-1,8,意思,yìsi ,N,meaning,ý nghĩa,2
15-1,9,全家,quánjiā,N,the entire family,cả gia đình,2
15-1,10,孩子,háizi,N,children,trẻ em,2
15-1,11,吉祥,jíxiáng ,Vs,auspicious,"tốt lành, cát tường",2
15-1,12,年紀,niánjì ,N,age,tuổi tác,2
15-1,13,過年,guò nián ,,to celebrate the Lunar New Year,ăn Tết,2
15-1,14,除夕夜,chúxì yè,,Luner New Year’s Eve,đêm Giao thừa,2
15-1,15,睡著,shuìzháo ,,to fall asleep,ngủ thiếp đi,2
15-1,16,壓歲錢,yāsuìqián ,,New Year’s Eve money,tiền lì xì,2
15-1,17,恭喜發財,gōngxǐ fācái,,Congratulations. I wish you wealth.,"Chúc mừng năm mới, phát tài phát lộc.",2
15-1,18,好了,hǎo le,,OK,Được rồi.,2
15-2,1,節日,jiérì ,N,"holiday, festival","ngày lễ, lễ hội",2
15-2,2,打掃,dǎsǎo ,V,to clean up (must include sweeping),dọn dẹp (bao gồm quét),2
15-2,3,另外,lìngwài,Conj,in addition,thêm vào đó,2
15-2,4,春聯,chūnlián ,N,"New Year’s couplets (with calligraphy, in doublets)",câu đối Tết,2
15-2,5,除夕,chúxì ,N,Lunar New Year’s Eve,Giao thừa,2
15-2,6,年糕,niángāo,N,new year rice cake,bánh Tết (bánh gạo),2
15-2,7,橘子,júzi,N,"orange, tangerine",quýt,2
15-2,8,守歲,shǒusuì ,Vi,to stay up waiting for the arrival of the New Year,thức đón giao thừa,2
15-2,9,說法,shuōfǎ,N,"way of saying things, a theory","cách nói, lý thuyết",2
15-2,10,晚,wǎn ,Vs,late,muộn,2
15-2,11,活,huó,Vs,"to live, to stay active","sống, hoạt động",2
15-2,12,平安,píng’ān,Vs,"peaceful, eventless",bình an,2
15-2,13,出門,chūmén,V-sep,"to go out, to leave the house","ra ngoài, ra khỏi nhà",2
15-2,14,拜年,bàinián ,V-sep,to pay a New Year visit,chúc Tết,2
15-2,15,又,yòu,Adv,again,lại,2
15-2,16,起來,qǐlái,Ptc,"As a resultative particle, it indicates the beginning of an action of state.",trợ từ kết quả chỉ sự bắt đầu hành động/trạng thái,2
15-2,17,華人,Huárén,,"Chinese, a person of Chinese ethnicity",người Hoa,2
15-2,18,貼上,tiēshàng ,,to stick on (the wall),dán lên (tường),2
15-2,19,年年有餘,niánnián yǒuyú ,,abundance every year,năm nào cũng dư dả,2
15-2,20,步步高升,bùbù gāoshēng,,to rise in social rank,thăng tiến từng bước,2
15-2,21,大吉大利,dàjí dàlì ,,great wishes for the new year,đại cát đại lợi,2
15-2,22,放鞭炮,fàng biānpào ,,to set off firecrackers,đốt pháo,2
15-2,23,大年初一,dànián chūyī ,,first day of the Lunar New Year,mùng 1 Tết,2
15-2,24,大年初五,dànián chūwǔ,,fifth day of the Lunar New Year,mùng 5 Tết,2
