課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊
4-1,30,獨特,dútè,Vs,unique,độc đáo,5
4-1,31,魅力,mèilì,N,charisma,"sức hấp dẫn, sự quyến rũ",5
4-1,32,戲劇,xìjù,N,"drama, play","kịch, vở kịch",5
4-1,33,無數,wúshù,Vs-attr,countless,vô số,5
4-1,34,靈感,línggǎn,N,inspiration,nguồn cảm hứng,5
4-1,35,諾貝爾,Nuòbèi'ěr,N,Nobel,Nobel,5
4-1,36,得主,dézhǔ,N,winner,người chiến thắng,5
4-1,37,作家,zuòjiā,N,"writer, author","nhà văn, tác giả",5
4-1,38,海明威,Hǎimíngwēi,N,Ernest Hemmingway,Ernest Hemingway,5
4-1,39,觀看,guānkàn,V,to watch,xem,5
4-1,40,小說,xiǎoshuō,N,novel,tiểu thuyết,5
4-1,41,舉世聞名,jǔshì wénmíng,Id,world-famous,nổi tiếng khắp thế giới,5
4-1,42,推廣,tuīguǎng,V,to promote,"quảng bá, thúc đẩy",5
4-1,43,遺產,yíchǎn,N,heritage,di sản,5
4-1,44,由來已久,yóulái yǐjiǔ,Id,age-old,có từ lâu đời,5
4-2,1,過時,guòshí,Vs,"passé, obsolete ","lỗi thời, lạc hậu",5
4-2,2,不利,búlì,Vs,"disadvantageous to, detrimental to",bất lợi,5
4-2,3,刺,cì,V,"to stab, gore ","đâm, húc",5
4-2,4,觀眾,guānzhòng,N,viewing audience,khán giả (xem truyền hình),5
4-2,5,轉播,zhuǎnbò,V/N,"to rebroadcast, transmission, relay",truyền hình trực tiếp; sự truyền hình trực tiếp,5
4-2,6,幕,mù,M,measure for scenes,"lượng từ cho cảnh, hồi (kịch, phim)",5
4-2,7,血淋淋,xiělínlín,Vs,"bloody, gory","đẫm máu, dã man",5
4-2,8,畫面,huàmiàn,N,"scene, graphics","cảnh quay, hình ảnh",5
4-2,9,頭,tóu,M,"measure for cattle (i.e., a head of cattle)",lượng từ cho gia súc (con),5
4-2,10,死亡,sǐwáng,Vp,to die,chết,5
4-2,11,折磨,zhémó,N/V,torment; to torture,sự hành hạ; hành hạ,5
4-2,12,賠上,péishàng,V,to pay as compensation,"bù đắp, đền bù",5
4-2,13,俗話,súhuà,N,saying ,tục ngữ,5
4-2,14,道理,dàolǐ,N,"principle, truth, reason","lẽ phải, chân lý",5
4-2,15,自私,zìsī,Vs,selfish ,ích kỷ,5
4-2,16,虐待,nüèdài,V,"to abuse, maltreat","ngược đãi, bạo hành",5
4-2,17,開設,kāishè,V,"to start, open up (a course)",mở (một khóa học),5
4-2,18,課程,kèchéng,N,course,"khóa học, môn học",5
4-2,19,教導,jiàodǎo,V/N,to teach; instruction,dạy dỗ; sự chỉ dạy,5
4-2,20,享有,xiǎngyǒu,Vst,to enjoy (a privilege) ,được hưởng (một đặc quyền),5
4-2,21,不人道,réndào,Vs,"humane, humanitarian",nhân đạo,5
4-2,22,無辜,wúgū,Vs,innocent,vô tội,5
4-2,23,寶貴,bǎoguì,Vs,precious,quý giá,5
4-2,24,提升,tíshēng,V,"to elevate, raise (as in awareness)","nâng cao, cải thiện",5
4-2,25,社群,shèqún,N,"social group, community (as in social network, social media)",cộng đồng (như mạng xã hội),5
4-2,26,殘忍,cánrěn,Vs,to be cruel,tàn nhẫn,5
4-2,27,刊登,kāndēng,V,"(for a media) to carry (a photo, article), publish","đăng tải, xuất bản",5
4-2,28,高喊,gāohǎn,V,"to shout, scream, cry out","hô to, la lớn",5
4-2,29,顯示,xiǎnshì,V,"to show, reveal","thể hiện, cho thấy",5
4-2,30,高達,gāodá,Vst,as high as,lên tới,5
4-2,31,僅,jǐn,Adv,only,chỉ,5
4-2,32,無須,wúxū,Vaux,need not,không cần,5
4-2,33,巴塞隆納,Bāsàilóngnà,N,Barcelona,Barcelona,5
4-2,34,宣布,xuānbù,V,to announce,công bố,5
4-2,35,娛樂,yúlè,N,"recreation, amusement, entertainment",sự giải trí,5
4-2,36,入場,rùchǎng,Vi,to enter (a venue),vào cửa (một địa điểm),5
4-2,37,澈底,chèdǐ,Adv,"completely, thoroughly","hoàn toàn, triệt để",5
5-1,1,代理孕母,dàilǐ yùnmǔ,Ph,surrogate mother,người mang thai hộ,5
5-1,2,案例,ànlì,N,"case, instance","trường hợp, vụ việc",5
5-1,3,名,míng,M,measure for people (formal),lượng từ cho người (trang trọng),5
5-1,4,同志,tóngzhì,N,"homosexual, gay ",người đồng tính,5
5-1,5,心願,xīnyuàn,N,"wish, heart’s desire",tâm nguyện,5
5-1,6,自願,zìyuàn,Vaux,"to volunteer, out of one’s own wish",tự nguyện,5
5-1,7,對,duì,M,measure for things or people that come in matching pairs,"cặp, đôi (dùng cho những thứ đi thành cặp)",5
5-1,8,委託,wěituō,V/ N,"to commission, to charge with; commission",ủy thác; sự ủy thác,5
5-1,9,龍鳳胎,lóngfèng tāi,Ph,twins (one boy and one girl),song sinh một trai một gái,5
5-1,10,遺棄,yíqì,V,"to abandon, desert","bỏ rơi, ruồng bỏ",5
5-1,11,缺陷,quēxiàn,N,"defect, imperfection","khiếm khuyết, khuyết tật",5
5-1,12,任,rèn,M,"measure for terms (e.g., first term as president)",nhiệm kỳ,5
5-1,13,丈夫,zhàngfū,N,husband,chồng,5
5-1,14,懷孕,huáiyùn,Vp-sep,to be pregnant,mang thai,5
5-1,15,毛遂自薦,máosuì zìjiàn,Id,"volunteer one’s services, recommend oneself","tự giới thiệu bản thân, tự tiến cử",5
5-1,16,日新月異,rìxīn yuèyì,Id,to advance with each passing day,"thay đổi từng ngày, tiến bộ không ngừng",5
5-1,17,倫理,lúnlǐ,N,ethics,đạo đức luân lý,5
5-1,18,整合,zhěnghé,V,to integrate,tích hợp,5
5-1,19,合法化,héfǎhuà,Vp,to legalize,hợp pháp hóa,5
5-1,20,需求,xūqiú,N,"demand, need, requirements ",nhu cầu,5
5-1,21,一線希望,yíxiàn xīwàng,Id,"a ray of hope, minimal possibility",một tia hy vọng,5
5-1,22,惡夢,è’mèng,N,nightmare,cơn ác mộng,5
5-1,1,看似,kànsì,Vst,"seemingly, look like, seem","thoạt nhìn, có vẻ như",5
5-1,2,費盡,fèijìn,V,"to take great pains to, exert great effort to",bỏ ra rất nhiều công sức,5
5-1,3,千辛萬苦,qiānxīn wànkǔ,Id,"untold hardships, innumerable trials and tribulations","vô vàn khó khăn, gian khổ",5
5-1,4,因素,yīnsù,N,"factor, element","nhân tố, yếu tố",5
5-1,5,皆,jiē,Adv,all (same as 都 but formal),"tất cả (trang trọng, giống 都)",5
5-1,6,承受,chéngshòu,V,"to bear, withstand, put up with","chịu đựng, gánh chịu",5
5-1,7,不得已,bùdéyǐ,Vs,"to have no choice but to, to be forced to, have to","bất đắc dĩ, không còn cách nào khác",5
5-1,8,代孕,dàiyùn,Vi,to surrogate  to perform surrogacy ,mang thai hộ,5
5-1,9,婚外情,hūnwàiqíng,N,extramarital affair,ngoại tình,5
5-1,10,破碎,pòsuì,Vs,"to break, shatter ",tan vỡ,5
5-1,11,悲劇,bēijù,N,tragedy,bi kịch,5
5-1,12,雙方,shuāngfāng,N,both parties,"hai bên, đôi bên",5
5-1,13,渴望,kěwàng,N/Vst,"longing, yearning ong for; to yearn for",sự khao khát; khao khát,5
5-1,14,供需,gōngxū,N,supply and demand,cung và cầu,5
5-1,15,利人利己,lìrén lìjǐ,Id,benefit both oneself and others,có lợi cho mình và cho người,5
5-1,16,雙贏,shuāngyíng,Vi,win-win,"cùng thắng, đôi bên cùng có lợi",5
5-1,17,反觀,fǎnguān,V,"looking back on, contrasting this with, when we reflect on","ngược lại, nhìn lại",5
5-1,18,連續,liánxù,Adv,"continuously, in a row, successively","liên tục, liên tiếp",5
5-1,19,排名,páimíng,Vst,to rank,xếp hạng,5
5-1,20,倒數,dàoshǔ,Vs-attr,"counting backward, from the end, from the bottom of the list (in English, 倒數第二名can be translated “second worst/lowest    /least”)","đếm ngược, từ dưới lên (ví dụ: thứ nhì từ dưới lên)",5
5-1,21,始終,shǐzhōng,Adv,"all the while, all along, invariably","luôn luôn, từ đầu đến cuối",5
5-1,22,忽視,hūshì,V,"to ignore, neglect, overlook","phớt lờ, bỏ qua",5
5-1,23,夫妻,fūqī,N,"husband and wife, married couple",vợ chồng,5
5-1,24,協助,xiézhù,V,to assist,"hỗ trợ, giúp đỡ",5
5-1,25,長輩,zhǎngbèi,N,"elder, one’s superior","bề trên, người lớn tuổi",5
5-1,26,忍受,rěnshòu,Vst,"to endure, suffer","chịu đựng, cam chịu",5
5-1,27,如願,rúyuàn,Vs-sep  ,"as one hopes, as one wishes ","như ý, như nguyện",5
5-1,28,自主權,zìzhǔquán,N,"right to make one’s own decisions, autonomy","quyền tự quyết, quyền tự chủ",5
5-2,1,固然,gùrán,Adv,"granted, certainly, while it is definitely true that","đương nhiên, mặc dù đúng là",5
5-2,2,交易,jiāoyì,Vi,"to trade, transact, carry out a transaction","giao dịch, mua bán",5
5-2,3,屬,shǔ,Vst,"to belong to, be part of (a category) ","thuộc về (một loại, hạng mục)",5
5-2,4,族群,zúqún,N,"group of people (e.g., ethnic group, disadvantaged group)","nhóm người (ví dụ: dân tộc, nhóm yếu thế)",5
5-2,5,等於,děngyú,Vst,"tantamount to, equal to","tương đương với, bằng",5
5-2,6,階級,jiējí,N,class (in society),giai cấp (trong xã hội),5
5-2,7,間接,jiànjiē ,Adv,indirectly,một cách gián tiếp,5
5-2,8,錯誤,cuòwù,N,mistake,sai lầm,5
5-2,9,性別,xìngbié,N,"sex, gender",giới tính,5
5-2,10,抽菸,chōuyān,Ph,to smoke a cigarette ,hút thuốc lá,5
5-2,11,胎兒,tāi’ér,N,fetus,bào thai,5
5-2,12,不良,bùliáng,Vs-attr,"harmful, bad","có hại, xấu",5
5-2,13,分離,fēnlí,Vi,to be separated from,bị tách rời khỏi,5
5-2,14,契約,qìyuē,N,"contract, agreement","hợp đồng, thỏa thuận",5
5-2,15,仲介,zhòngjiè,N,"intermediary, agent, middleman","người trung gian, môi giới",5
5-2,16,角色,juésè,N,role,vai trò,5
5-2,17,涉及,shèjí,Vst,"to involve, relate to",liên quan đến,5
5-2,18,規範,guīfàn,V/N,"to regulate, standardize; standard ","quy định, chuẩn hóa; tiêu chuẩn",5
5-2,19,黑白不分,hēibái bùfēn,Id,cannot tell truth from non-truth,không phân biệt được trắng đen,5
5-2,20,是非不明,shìfēi bùmíng,Id,cannot tell truth from non-truth,không phân biệt được phải trái,5
5-2,21,紛紛,fēnfēn,Adv,"one after another, in succession","lần lượt, cái này đến cái khác",5
5-2,22,精子,jīngzǐ,N,sperm,tinh trùng,5
5-2,23,搞定,gǎodìng,V,to have it resolved,"giải quyết xong, xong xuôi",5
5-2,24,獨一無二,dúyī wú’èr,Id,"unique, one of a kind",độc nhất vô nhị,5
5-2,25,總之,zǒngzhī,Adv,"to sum it up, in short, in conclusion","tóm lại, nói tóm lại",5
6-1,1,死刑,sǐxíng,N,"capital punishment, the death penalty","án tử hình, hình phạt tử hình",5
6-1,2,存廢,cúnfèi,N,"preservation or abolishment, to preserve or to abolish (contracted word from 保存+廢除) ",sự bảo tồn hoặc bãi bỏ,5
6-1,3,爭議,zhēngyì,N,controversy,tranh cãi,5
6-1,4,僵局,jiāngjú,N,"stalemate, deadlock, impasse","bế tắc, ngõ cụt",5
6-1,5,各自,gèzì,Adv,"each, respectively","mỗi, riêng",5
6-1,1,嚇阻,hèzǔ,V,to deter (through intimidation),"răn đe, ngăn chặn (bằng sự đe dọa)",5
6-1,2,隔離,gélí,V,"to isolate, separate, quarantine",cách ly,5
6-1,3,罪犯,zuìfàn,N,criminal,tội phạm,5
6-1,4,隨機,suíjī,Adv,randomly,ngẫu nhiên,5
6-1,5,殺害,shāhài,V,"to murder, kill",giết hại,5
6-1,6,黑心,hēixīn,Vs-attr,"darkened heart; evil mind (黑心食品 = unsafe food, i.e., made by profit-oriented people/companies with no conscience)","đen tối, độc ác (ví dụ: thực phẩm bẩn)",5
6-1,7,案件,ànjiàn,N,(legal) case,vụ án,5
6-1,8,法官,fǎguān,N,judge,thẩm phán,5
6-1,9,判,pàn,V,"to judge, rule, give sentencing ","xét xử, tuyên án",5
6-1,10,有期徒刑,yǒuqí túxíng,Ph,prison term (sentencing with a fixed prison term),án tù có thời hạn,5
6-1,11,無期徒刑,wúqí túxíng,Ph,"life sentence (i.e., no chance of parole)",án tù chung thân (không có cơ hội ân xá),5
6-1,12,死者,sǐzhě,N,"the dead person, the murder victim","người chết, nạn nhân vụ giết người",5
6-1,13,交代,jiāodài,N,"a satisfactory answer, briefing,accountability ","sự giải trình, trách nhiệm giải trình",5
6-1,14,彌補,míbǔ,V,"to make up for, compensate for","bù đắp, đền bù",5
6-1,15,家屬,jiāshǔ,N,"family, family members","gia đình, thành viên gia đình",5
6-1,16,或者,huòzhě,Conj,or,hoặc là,5
6-1,17,犯人,fànrén,N,"criminal, prisoner","tội phạm, phạm nhân",5
6-1,18,出獄,chūyù,Vi,"to be released from prison (監獄,jiānyù, prison)",ra tù,5
6-1,19,把,bǎ,M,"measure for “graspable” objects like rulers, chairs, salt etc.","lượng từ cho vật có thể cầm nắm (thước kẻ, ghế, muối...)",5
6-1,20,尺,chǐ,N,ruler,thước kẻ,5
6-1,21,現行,xiànxíng,Vs-attr,"existing, current","hiện hành, hiện tại",5
6-1,22,假釋,jiǎshì,Vi,parole,ân xá,5
6-1,23,永久,yǒngjiǔ,Adv,"forever, permanently",vĩnh viễn,5
6-1,24,害怕,hàipà,Vs,"to be afraid of, to fear",sợ hãi,5
6-1,25,報復,bàofù,V/N,"to retaliate, get revenge; vengeance",trả thù; sự trả thù,5
6-1,26,納稅,nàshuì,V-sep,to pay taxes,nộp thuế,5
6-1,27,懲罰,chéngfá,N/V,punishment; to punish,sự trừng phạt; trừng phạt,5
6-1,28,犯罪,fànzuì,V-sep,to commit a crime,phạm tội,5
6-1,29,罰單,fádān,N,ticket (for a fine),vé phạt (phạt tiền),5
6-1,30,闖紅燈,chuǎng hóngdēng,Ph,"run a red light (闖,to rush, break through；紅燈red light)",vượt đèn đỏ,5
6-1,31,開,kāi,V,to write (a ticket),viết (vé phạt),5
6-1,32,同理,tónglǐ ,Adv,"by the same token, similarly","tương tự như vậy, bằng lý lẽ tương tự",5
6-1,33,換句話說,huànjùhuà shuō,Ph,"in other words, to put it another way",nói cách khác,5
6-1,34,維持,wéichí,V,"to keep, maintain",duy trì,5
6-1,35,相較於,xiāngjiào yú,Ph,"in comparison to, compared to (classical Chinese)",so với,5
6-1,36,人權,rénquán,N,human rights,nhân quyền,5
6-1,37,廢除,fèichú,V,to abolish,bãi bỏ,5
6-1,38,被害人,bèihàirén,N,victim,nạn nhân,5
6-1,39,孤兒,gū’ér,N,orphan,trẻ mồ côi,5
6-1,40,不然,bùrán,Conj,otherwise,nếu không thì,5
6-1,41,毀,huǐ,V,to destroy,phá hủy,5
6-1,42,氣憤,qìfèn,Vs,"indignant, angry","phẫn nộ, tức giận",5
6-1,43,恨,hèn,Vst,to hate,ghét,5
6-1,44,報仇,bàochóu,V-sep,"to get revenge, get vengeance",báo thù,5
6-1,45,便宜,piányí,Vst,to let somebody off easy,"tha bổng, xử nhẹ",5
6-1,46,置身事外,zhìshēn shìwài,Id,"to remain aloof, sit on the sidelines, not be involved","đứng ngoài cuộc, không dính líu",5
6-1,47,放下,fàngxià,V,"let it go, let it be, “forgive”","buông bỏ, tha thứ",5
6-1,48,凶手,xiōngshǒu,N,"murderer, killer",kẻ giết người,5
6-1,49,感同身受,gǎntóng shēnshòu,Id,"to empathize, feel like own experience",thấu hiểu và cảm thông,5
6-1,50,生前,shēngqián,N,"during one’s life, before one’s death","khi còn sống, trước khi chết",5
6-1,51,恐懼,kǒngjù,N,fear,nỗi sợ hãi,5
6-1,52,心痛,xīntòng,Ph,"the pain in one’s heart, heartbreak, heartache","nỗi đau lòng, sự đau lòng",5
6-1,53,天平,tiānpíng,N,"balance, scales",cán cân công lý,5
6-1,54,衡量,héngliáng,V,"to weigh, evaluate","cân nhắc, đánh giá",5
6-1,55,坦白,tǎnbái,Vs,"honesty, honest (坦白說 = to be honest/frank/candid)","thành thật, trung thực (thành thật mà nói)",5
6-1,56,撫慰,fǔwèi,V,"to console, comfort","an ủi, vỗ về",5
6-1,57,剛剛好,gānggāng hǎo,Ph,"just right, just enough, just the right amount, time, color, etc. (meaning here: justice done)","vừa đủ, hoàn hảo",5
6-2,1,無濟於事,wújì yúshì,Id,to not help the situation; does not do anybody good; of no use,không giúp ích gì cho tình hình,5
6-2,2,致力,zhìlì,Adv,with all might and mind,"hết sức, dồn hết tâm lực",5
6-2,3,推動,tuīdòng,V,"to promote, push",thúc đẩy,5
6-2,4,漫漫長路,mànmàn chánglù,Id,"a long road, there is still a long way to go",một chặng đường dài phía trước,5
6-2,5,刑罰,xíngfá,N,"punishment, penalty",hình phạt,5
6-2,6,顯得,xiǎnde,Vaux,"to appear, seem; come off as","có vẻ, tỏ ra",5
6-2,7,費,fèi,V,to exert (lit. pay out),"bỏ ra, hao tổn (sức lực)",5
6-2,8,心力,xīnlì,N,effort (physical and mental),"tâm sức, công sức",5
6-2,9,冤枉,yuānwǎng,V,to be wronged; treated unjustly ,"bị oan, bị đối xử bất công",5
6-2,10,槍決,qiāngjué,N/V,execution by shooting; to execute by shooting,xử bắn; hành quyết bằng súng,5
6-2,11,犯案,fàn'àn,Vp-sep,to be implicated in a crime,liên quan đến một vụ án,5
6-2,12,充足,chōngzú,Vs,"ample, sufficient, adequate","đầy đủ, thỏa đáng",5
6-2,13,保證,bǎozhèng,V/N,to guarantee; guarantee,bảo đảm; sự bảo đảm,5
6-2,14,誤判,wùpàn ,V/N,"to err in judicial judgement; erroneous judgement, miscarriage of justice","xét xử sai; bản án sai, sự oan sai",5
6-2,15,失誤,shīwù,N,"mistake, error","sai sót, lỗi lầm",5
6-2,16,無價,wújià,Vs,priceless,vô giá,5
6-2,17,賠償,péicháng,N/V,"compensation, reparation; to compensate, make reparations",sự bồi thường; bồi thường,5
6-2,18,善良,shànliáng,Vs,good and kind,"lương thiện, tốt bụng",5
6-2,19,一面,yímiàn,Ph,"side (i.e., a good side)",mặt (ví dụ: mặt tốt),5
6-2,20,可貴,kěguì,Vs,"valuable, priceless",đáng quý,5
6-2,21,同情,tóngqíng,Vst/N,to sympathize;,thông cảm; sự thông cảm,5
6-2,22,換不回,huàn bùhuí,Ph,cannot get it back,không thể lấy lại được,5
6-2,23,和解,héjiě,Vi,"to reconcile, make up",hòa giải,5
6-2,24,認錯,rèncuò,V-sep,to admit one’s error,nhận lỗi,5
6-2,25,重新,chóngxīn,Adv,"anew, afresh","lại, một lần nữa",5
6-2,26,大愛,dà’ài,N,"great love, love at the highest level","tình yêu lớn, đại ái",5
6-2,27,感受,gǎnshòu,N,feelings,cảm nhận,5
6-2,28,只是,zhǐshì,Adv,it's just that,chỉ là,5
6-2,29,一命還一命,yímìng huán yímìng,Id,"a life for a life, an eye for an eye",mạng đền mạng,5
6-2,30,好受,hǎoshòu,Vs,to feel better,cảm thấy dễ chịu hơn,5
6-2,31,也就是說,yějiùshìshuō,Ph,"that is to say; that is; i.e.,","nghĩa là, tức là",5
6-2,32,歐盟,ōuméng,N,the EU; European Union,Liên minh Châu Âu (EU),5
6-2,33,潮流,cháoliú,N,trend,xu hướng,5
6-2,34,意識到,yìshìdào,Vpt,"to be conscious of, to be aware of",nhận thức được,5
6-2,35,唯有,wéiyǒu,Adv,only by,chỉ bằng cách,5
6-2,36,身旁,shēnpáng,N,"next to, around you","bên cạnh, xung quanh bạn",5
6-2,37,打造,dǎzào,V,"to create, implement","tạo dựng, xây dựng",5
6-2,38,根本,gēnběn,Adv,"completely, fundamentally, thoroughly","hoàn toàn, về cơ bản",5
7-1,1,傷腦筋,shāng nǎojīn,Id,"to cause a headache, a pain in the neck, to be knotty/troublesome (said of issues or problems)","gây đau đầu, rắc rối",5
7-1,2,受益,shòuyì,Vp,"to be benefited, to benefit (from)",được hưởng lợi,5
7-1,3,財富,cáifù,N,wealth,"của cải, sự giàu có",5
7-1,4,思考,sīkǎo,V,to ponder ,"suy nghĩ, ngẫm nghĩ",5
7-1,1,清晨,qīngchén,N,early morning,sáng sớm,5
7-1,2,同齡,tónglíng,Vs,to be of the same age,cùng tuổi,5
7-1,3,遇上,yùshàng,Vpt,"to encounter, come across","gặp phải, tình cờ gặp",5
7-1,4,白工,báigōng,N,"work done in vain, wasted work","công việc làm không công, phí hoài",5
7-1,5,沖走 ,chōngzǒu,V,to be washed away,bị cuốn trôi,5
7-1,6,(一)大半,(yí) dàbàn,Ph,"a huge portion of, more than half ","một phần lớn, hơn một nửa",5
7-1,7,慘重,cǎnzhòng,Vs,heavy (said of losses),nặng nề (về tổn thất),5
7-1,8,值錢,zhíqián,Vs,valuable,có giá trị,5
7-1,9,村,cūn,N,village,làng,5
7-1,10,可憐,kělián,Vs,"to be pitiful, pitiable, poor","đáng thương, tội nghiệp",5
7-1,11,相依為命,xiāngyī wéimìng,Id,to depend on each other (for survival),nương tựa vào nhau để sống,5
7-1,12,一身病痛,yīshēn bìngtòng,Id,illness and pain all over the body,khắp người đau bệnh,5
7-1,13,懂事,dǒngshì,Vs,"to be sensible, have a good head on one’s shoulders","biết điều, sáng suốt",5
7-1,14,主動,zhǔdòng,Adv,"take the initiative, take it upon oneself to",chủ động,5
7-1,15,援助,yuánzhù,V/ N,"to assist; assistance, aid",viện trợ; sự viện trợ,5
7-1,16,口袋,kǒudài,N,pocket,"túi (quần, áo)",5
7-1,17,吃力,chīlì,Vs,"to entail strenuous effort, be a strain","vất vả, tốn sức",5
7-1,18,家產,jiāchǎn,N,family property,tài sản gia đình,5
7-1,19,一無所有,yìwú suǒyǒu,Id,"have nothing at all, not own a thing in the world, penniless ","không có gì, tay trắng",5
7-1,20,對於,duìyú,Prep,"as to, with regard to, to",đối với,5
7-1,21,累積,lěijī,Vpt,to accumulate,tích lũy,5
7-1,22,貧戶,pínhù,N,households below poverty line,hộ nghèo,5
7-1,23,袖手旁觀,xiùshǒu pángguān,Id,"stand by and watch, sit there twiddling one’s thumbs, not lift a finger",đứng nhìn khoanh tay,5
7-1,24,調整,tiáozhěng,V/N,to adjust; adjustment,điều chỉnh; sự điều chỉnh,5
7-1,25,創造,chuàngzào,V,to create,sáng tạo,5
7-1,26,津貼,jīntiē,N,allowance (as in travel allowance),"trợ cấp, phụ cấp",5
7-1,27,等同,děngtóng,Vst,"to be tantamount to, equivalent to",tương đương với,5
7-1,28,補貼,bǔtiē,V/N,to subsidize; subsidy,trợ cấp; sự trợ cấp,5
7-1,29,分子,fènzǐ,N,member (of an organisation),thành viên (của một tổ chức),5
7-1,30,舉例,jǔlì,V-sep,to give an example,lấy ví dụ,5
7-1,31,工資,gōngzī,N,"pay, salary","tiền lương, tiền công",5
7-1,32,完善,wánshàn,Vs,"fully devised, perfect","hoàn hảo, đầy đủ",5
7-1,33,出手,chūshǒu,Vi,"to spend, hand out, pay out ","chi tiêu, bỏ tiền ra",5
7-1,34,大方,dàfāng,Vs,"generous, magnanimous ","hào phóng, rộng rãi",5
7-1,35,在於,zàiyú,Vst,"to lie in (the fact that), consist in","nằm ở, là ở",5
7-1,36,進行,jìnxíng,V,"to carry out, conduct, undertake","tiến hành, thực hiện",5
7-1,37,共享,gòngxiǎng,V,"to share, enjoy ","cùng chia sẻ, cùng hưởng thụ",5
7-1,38,倘若,tǎngruò,Conj,"if, in the event that, supposing","nếu, giả sử rằng",5
7-1,39,不服,bùfú ,Vs,"to refuse to accept, unconvinced","không phục, không chấp nhận",5
7-1,40,稅收,shuìshōu,N,tax revenue,doanh thu thuế,5
7-1,41,生存,shēngcún,Vi/N,"to survive, exist; survival",sự sinh tồn; tồn tại,5
7-1,42,提心吊膽,tíxīn diàodǎn,Id,"to be on tenterhooks, be nervous","lo sợ, hồi hộp",5
7-1,43,警力,jǐnglì,N,police force,lực lượng cảnh sát,5
7-1,44,治安,zhì’ān,N,public security,"an ninh công cộng, trật tự xã hội",5
7-2,1,哈佛大學,Hāfó Dàxué,N,Harvard University,Đại học Harvard,5
7-2,2,課堂,kètáng,N,classroom,"lớp học, giờ học",5
7-2,3,心臟,xīnzàng,N,heart (organ),tim (cơ quan),5
7-2,4,肺臟,fèizàng,N,lung,phổi,5
7-2,5,腎臟,shènzàng,N,kidney,thận,5
7-2,6,急迫,jípò,Vs,"urgent, pressing","cấp bách, khẩn cấp",5
7-2,7,器官,qìguān,N,organ,cơ quan nội tạng,5
7-2,8,移植,yízhí,V,to transplant,cấy ghép,5
7-2,9,捐贈,juānzèng,V,to donate,hiến tặng,5
7-2,10,突然,túrán,Adv,suddenly,"bất ngờ, đột ngột",5
7-2,11,全身,quánshēn,N,entire body ,toàn thân,5
7-2,12,麻醉,mázuì,V,to anesthetize (全身麻醉 general anesthesia),gây mê,5
7-2,13,抽,chōu,V,to levy (a tax),đánh (thuế),5
7-2,14,迫切,pòqiè,Vs,urgent,cấp thiết,5
7-2,15,眾人,zhòngrén,N,"people in general, the multitude","mọi người, công chúng",5
7-2,16,奪取,duóqǔ,V,"to seize, take by force","chiếm đoạt, cướp lấy",5
7-2,17,堂,táng,M,"measure for classes (in terms of minutes; not for courses, classrooms, or students that make up a class)",lượng từ cho tiết học (tính bằng phút),5
7-2,18,奮鬥,fèndòu,Vi,"to struggle, strive","đấu tranh, phấn đấu",5
7-2,19,犧牲,xīshēng,V,to sacrifice,hy sinh,5
7-2,20,埋,mái,V,to bury,chôn cất,5
7-2,21,繳稅單,jiǎoshuìdān,N,tax form,tờ khai thuế,5
7-2,22,無所事事,wúsuǒ shìshì,Id,"have nothing to do, to lay idle (here, unemployed)","nhàn rỗi, không có việc gì làm",5
7-2,23,短暫,duǎnzhàn,Vs,"transient, short, brief","ngắn ngủi, tạm thời",5
7-2,24,拼,pīn,Vs,to work hard,làm việc chăm chỉ,5
7-2,25,醒,xǐng,Vp,"to wake up, awaken",tỉnh dậy,5
7-2,26,苦笑,kǔxiào,Vi,"to smile bitterly/wryly, to force a smile",cười cay đắng,5
7-2,27,歪理,wāilǐ,N,"preposterous argument (i.e., that’s dumb! What idiot thought that up?!)","lý lẽ sai trái, ngụy biện",5
7-2,28,米蟲,mǐchóng,N,"sponge, parasite (lit. a rice bug)","kẻ ăn bám, ký sinh trùng",5
7-2,29,仍舊,réngjiù,Adv,still,vẫn,5
7-2,30,劫富濟貧,jiéfù jìpín,Id,steal from the rich and give to the poor (spirit of Robin Hood),cướp của người giàu chia cho người nghèo,5
7-2,31,強制,qiǎngzhì,Adv,"by force, coerced","bắt buộc, cưỡng chế",5
7-2,32,奪走,duózǒu,V,"to take away, snatch","lấy đi, cướp đoạt",5
7-2,33,被迫,bèipò,Vs,"to be forced, compelled ","bị ép buộc, bị bắt buộc",5
7-2,34,捐款,juānkuǎn,V-sep,to donate money,quyên góp tiền,5
7-2,35,眼紅,yǎnhóng ,Vs,"to covet, envious","thèm muốn, ghen tị",5
7-2,36,分享,fēnxiǎng,V,to share,chia sẻ,5
7-2,37,成果,chéngguǒ,N,fruits (of one’s hard work/labor),thành quả,5
7-2,38,不勞而獲,bùláo érhuò,Id,to reap where one has not sown; get something for nothing,không làm mà có ăn,5
7-2,39,依靠,yīkào,V,"to rely on, depend on","dựa vào, ỷ lại",5
7-2,40,拉,lā,V,to pull,kéo,5
7-2,41,貧窮,pínqióng,N,poverty,sự nghèo đói,5
7-2,42,強盜,qiángdào,N,robber,kẻ cướp,5
7-2,43,打擊,dǎjí,V,to strike a blow to,"đả kích, tấn công",5
7-2,44,創富,chuàngfù,Vi,to create wealth,sáng tạo của cải,5
7-2,45,介入,jièrù,V,"to intervene, get involved in","can thiệp, xen vào",5
