課-序號,序號,生詞,漢拼,詞類,英譯,越譯,泰譯,緬譯,日譯,韓譯,西譯,印尼譯,冊
4-1,11,擔仔麵,dànzǎimiàn ,N,danzai noodles (special dish from Tainan),mì trộn Đài Loan (món đặc sản Đài Nam),บะหมี่ดันไซ (อาหารจานพิเศษจากไถหนาน),Danzai ခေါက်ဆွဲ (Tainan မှ အထူးဟင်းလျာ),担仔麺（台南名物）,단자이 국수(타이난 특선 요리),fideos danzai (plato especial de Tainan),mie danzai (hidangan spesial dari Tainan),3
4-1,12,招牌,zhāopái ,N,store sign,biển hiệu cửa hàng,ป้ายร้าน,ဆိုင်ဆိုင်းဘုတ်,店の看板,매장 간판,letrero de tienda,tanda toko,3
4-1,13,當地,dāngdì ,Vs-attr,local,địa phương,ท้องถิ่น,ပြည်တွင်း,地元,현지의,local,lokal,3
4-1,14,賺,zhuàn,V,to earn,kiếm tiền,ที่จะได้รับ,ဝင်ငွေရရန်,稼ぐ,벌다,ganar,mendapatkan,3
4-1,15,而,ér ,Adv,"on the other hand, rather,","mà, nhưng mà",ในทางกลับกัน ค่อนข้าง,တစ်ဖက်တွင်၊,その一方で、むしろ、,반면에 오히려,"por otra parte, más bien,","di sisi lain, sebaliknya,",3
4-1,16,交,jiāo ,V,to make (friends),kết giao (bạn bè),ที่จะทำให้ (เพื่อน),မိတ်ဆွေဖွဲ့ရန်,（友達を）作る,(친구를) 사귀다,hacer (amigos),membuat (teman),3
4-1,17,理想,lǐxiǎng ,N,"ideals, aspirations",lý tưởng,อุดมคติความทะเยอทะยาน,စိတ်ကူးများ၊ ဆန္ဒများ,理想、願望,"이상, 열망","ideales, aspiraciones","cita-cita, aspirasi",3
4-1,18,剛剛,gānggang ,Adv,just now,vừa mới,เมื่อกี้ (muea kee),ခုနက (khu na ka),さっき (sakki),방금 (banggeum),En este momento,baru saja,3
4-1,19,改天,gǎitiān ,Adv,some other day,hôm khác,วันอื่น,အခြားနေ့,いつか,다른 날,algún otro día,suatu hari nanti,3
4-1,20,無聊,wúliáo ,Vs,"boring, dull",nhàm chán,น่าเบื่อน่าเบื่อ,ပျင်းစရာ၊ မှိုင်း,退屈な、退屈な,"지루하다, 지루하다","aburrido, aburrido","membosankan, membosankan",3
4-1,21,東區,dōngqū ,N,the East District (of Taipei),Khu Đông (của Đài Bắc),เขตตะวันออก (ของไทเป),အရှေ့ခရိုင် (တိုင်ပေ)၊,（台北の）東区,동부 지구 (타이베이),el Distrito Este (de Taipei),Distrik Timur (Taipei),3
4-1,22,煙火,yānhuǒ ,N,fireworks,pháo hoa,ดอกไม้ไฟ,မီးရှူးမီးပန်း,花火,불꽃,fuegos artificiales,kembang api,3
4-1,23,跨年,kuànián ,Vi,welcome in the (solar) New Year (lit. span the years),đón giao thừa,ต้อนรับปีใหม่ (สุริยคติ) (ตามตัวอักษรคือช่วงปี),(နေရောင်ခြည်) နှစ်သစ်ကို ကြိုဆိုပါ၏ (စာသားအရ၊ နှစ်များ),（太陽の）新年を歓迎します（文字通り、年をまたいで）,"(태양의) 새해를 환영합니다(문자 그대로, 몇 년 동안)","bienvenido al Año Nuevo (solar) (literalmente, abarcar los años)","selamat datang di Tahun Baru (matahari) (secara harfiah, rentang tahun)",3
4-1,24,種類,zhǒnglèi ,N,"type, category","loại, hạng mục",ประเภทหมวดหมู่,အမျိုးအစား၊ အမျိုးအစား,タイプ、カテゴリー,"유형, 카테고리","tipo, categoría","jenis, kategori",3
4-1,25,價錢,jiàqián ,N,price,giá cả,ราคา,စျေးနှုန်း,価格,가격,precio,harga,3
4-1,26,感覺,gǎnjué,N,feeling; a feeling of… ,"cảm giác, cảm nhận",ความรู้สึก; ความรู้สึกของ...,ခံစားမှု; ခံစားချက်တစ်ခု…,フィーリング; …の気持ち,감정;...의 느낌,sentimiento; un sentimiento de…,merasa; perasaan…,3
4-1,27,雞排,jīpái,N,chicken fillet,miếng phi lê gà,เนื้อไก่,ကြက်သားလွှာ,チキンフィレ,치킨 필레,filete de pollo,irisan ayam,3
4-1,28,口,kǒu,M,mouthful,"lượng từ cho vật đưa lên miệng (ngụm, miếng...)",คำหนึ่ง,လုတ်,一口,한입 가득,bocado,suap,3
4-1,29,紅茶,hóngchá ,N,black tea (lit. red tea),trà đen,ชาดำ (ตัวอักษรชาแดง),လက်ဖက်ခြောက် (လက်ဖက်အနီ),紅茶（文字通り、赤茶）,홍차 (말 그대로 홍차),"té negro (literalmente, té rojo)","teh hitam (secara harfiah, teh merah)",3
4-1,30,平溪,Píngxī ,,"Pingxi, a town in northern Taiwan",Pingxi (một thị trấn ở phía bắc Đài Loan),ผิงซี เมืองทางตอนเหนือของไต้หวัน,ထိုင်ဝမ်မြောက်ပိုင်းရှိ Pingxi မြို့,台湾北部の町、平渓,대만 북부의 도시 핑시(Pingxi),"Pingxi, una ciudad en el norte de Taiwán","Pingxi, sebuah kota di Taiwan utara",3
4-1,31,元宵節,Yuánxiāo jié ,,the Lantern Festival (15th day of the 1st month),Tết Nguyên Tiêu (Rằm tháng Giêng),เทศกาลโคมไฟ (วันที่ 15 ของเดือนที่ 1),မီးပုံးပွဲတော် (၁လပိုင်း ၁၅ရက်)၊,ランタンフェスティバル（第1月15日）,등불 축제(1월 15일),el Festival de los Faroles (día 15 del primer mes),Festival Lentera (hari ke 15 bulan pertama),3
4-1,32,孔廟,Kǒngmiào ,,Confucian Temple,Văn Miếu,วัดขงจื้อ,ကွန်ဖြူးရှန်းဘုရားကျောင်း,孔子廟,유교 사원,Templo confuciano,Kuil Konfusianisme,3
4-1,33,校外教學,xiàowài jiāoxué ,,"field trip, class excursion","chuyến dã ngoại, hoạt động ngoại khóa",ทัศนศึกษาทัศนศึกษาในชั้นเรียน,ကွင်းဆင်းခရီး၊ အတန်းလေ့လာရေးခရီး,修学旅行、修学旅行,"견학, 학급 견학","excursión, excursión de clase","karyawisata, tamasya kelas",3
4-1,34,碰到,pèngdào ,,to run into,tình cờ gặp,ที่จะวิ่งเข้าไป,ပြေးဝင်,遭遇する,뛰어들다,toparse con,bertemu,3
4-1,35,水煎包,shuǐjiān bāo ,,pan-fried pork bun,bánh bao rán,ซาลาเปาหมูกระทะ,ဝက်သားပေါင်မုန့်ကြော်,揚げ豚まん,돼지고기 팬에 튀긴 만두,pan de cerdo frito,roti babi goreng,3
4-2,1,同事,tóngshì ,N,"colleague, coworker",đồng nghiệp,"เพื่อนร่วมงาน, เพื่อนร่วมงาน",လုပ်ဖော်ကိုင်ဖက်၊ လုပ်ဖော်ကိုင်ဖက်,同僚、同僚,"동료, 동료","colega, compañero de trabajo","kolega, rekan kerja",3
4-2,2,美食,měishí ,N,"delicacies, delicious foods",món ăn ngon,อาหารรสเลิศอาหารอร่อย,အရသာရှိသော အစားအစာများ၊,珍味、おいしい食べ物,"진미, 맛있는 음식","delicias, comidas deliciosas","makanan lezat, makanan lezat",3
4-2,3,上,shàng ,V,to go up to,"lên (xe, tàu...)",เพื่อขึ้นไป,တက်ဖို့,まで行く,까지 올라가다,subir a,naik ke,3
4-2,4,泡,pào ,V,"to steep (tea)  to soak oneself in, i.e., to bath in","pha (trà), ngâm mình (bồn tắm)",แช่ตัว (ชา) แช่ตัว กล่าวคือ อาบน้ำ,စိမ်သည် (လက်ဖက်ရည်); ရေထဲတွင် စိမ်နေသည်၊ ဥပမာ ရေချိုးသည်,（お茶を）浸す、浸る、つまり入浴する,"(차)를 담그다, 즉 목욕을 하다","remojar (té) empaparse, es decir, bañarse en","menyeduh (teh) untuk merendam diri, yaitu mandi",3
4-2,5,錯過,cuòguò ,Vpt,to miss (an opportunity),bỏ lỡ (cơ hội),พลาด (โอกาส),(အခွင့်အရေး) လက်လွတ်ဖို့,（機会を）逃す,(기회를) 놓치다,perder (una oportunidad),melewatkan (kesempatan),3
4-2,6,營業,yíngyè,Vi,"to open for business, in operation (businesses)",mở cửa kinh doanh,"เพื่อเปิดธุรกิจ, ดำเนินการ (ธุรกิจ)",လုပ်ငန်းဖွင့်ရန်၊ လည်ပတ်ရန် (စီးပွားရေးလုပ်ငန်းများ)၊,営業を開始する、営業中（ビジネス）,"영업을 시작하다, 영업을 하다 (사업을 하다)","abrir negocios, en funcionamiento (negocios)","membuka usaha, beroperasi (usaha)",3
4-2,7,夜景,yèjǐng,N,night view,cảnh đêm,วิวกลางคืน,ညမြင်ကွင်း,夜景,야경,vista nocturna,pemandangan malam,3
4-2,8,古老,gǔlǎo ,Vs,"ancient, antiquated",cổ kính,"โบราณ,โบราณ",ရှေးခေတ်၊,古い、時代遅れの,"고대의, 구식의","antiguo, anticuado","kuno, kuno",3
4-2,9,古蹟,gǔjī ,N,historical site,di tích lịch sử,โบราณสถาน,သမိုင်းဝင်နေရာ,史跡,유적지,sitio historico,situs bersejarah,3
4-2,10,重視,zhòngshì ,Vst,"to place emphasis on, to lay stress on, to value",coi trọng,"เน้น, เน้น, ให้คุณค่า",အလေးထားဖို့၊ အလေးထားဖို့၊ တန်ဖိုးထားဖို့,重点を置く、強調する、価値を置く,"강조하다, 강조하다, 가치를 두다","poner énfasis en, poner énfasis en, valorar","memberi penekanan pada, memberi tekanan pada, menghargai",3
4-2,11,歷史,lìshǐ ,N,history,lịch sử,ประวัติศาสตร์,သမိုင်း,歴史,역사,historia,sejarah,3
4-2,12,風俗,fēngsú ,N,customs,phong tục,ศุลกากร,အခွန်ဌာန,税関,세관,aduanas,bea cukai,3
4-2,13,習慣,xíguàn,N,habit,thói quen,นิสัย,ဖြတ်တယ်။,癖,습관,hábito,kebiasaan,3
4-2,14,道地,dàodì ,Vs,authentic,"đích thực, chuẩn vị",แท้,စစ်မှန်သော,本物,진본인,auténtico,autentik,3
4-2,15,粥,zhōu ,N,"congee, watery rice",cháo,โจ๊กข้าวน้ำ,ထမင်းရည်၊ ရေဆန်,おかゆ、水っぽいご飯,"죽, 찹쌀","sopa de arroz, arroz aguado","bubur, nasi encer",3
4-2,16,講究,jiǎngjiù ,Vst,"to be discriminating in, to be discerning, meticulous","cầu kỳ, kỹ lưỡng",เป็นคนแยกแยะ มีวิจารณญาณ พิถีพิถัน,ပိုင်းခြားသိမြင်တတ်ဖို့၊ စေ့စေ့စပ်စပ် ခွဲခြားတတ်ဖို့၊,識別する、識別する、細心の注意を払う,"분별력이 있다, 분별력이 있다, 꼼꼼하다","ser exigente, ser exigente, meticuloso","membeda-bedakan, menjadi cerdas, teliti",3
4-2,17,頓,dùn ,M,measure word for the duration of a meal,lượng từ cho bữa ăn,วัดคำระหว่างมื้ออาหาร,အစာစားချိန်အတွက် စကားလုံးကို တိုင်းတာပါ။,食事中の単語を測定する,식사하는 동안 단어 측정,medir la palabra durante la duración de una comida,mengukur kata selama makan,3
4-2,18,速度,sùdù,N,speed,tốc độ,ความเร็ว,အရှိန်,スピード,속도,velocidad,kecepatan,3
4-2,19,窄,zhǎi ,Vs,narrow,chật hẹp,แคบ,ကျဉ်းတယ်။,狭い,좁은,angosto,sempit,3
4-2,20,街道,jiēdào,N,street,đường phố,ถนน (thanon),လမ်း,通り,거리,calle,jalan,3
4-2,21,蓋,gài ,V,"to build, to erect",xây dựng,"เพื่อสร้าง, การก่อสร้าง",တည်ဆောက်ရန်၊ စိုက်ထူရန်,建てる、建てる,"짓다, 세우다","construir, erigir","membangun, mendirikan",3
4-2,22,待,dāi,Vi,"to stay, to remain",ở lại,จะอยู่ยังคงอยู่,နေဖို့၊,残る、残る,"머물다, 머물다","quedarse, permanecer","tinggal, tetap",3
4-2,23,欣賞,xīnshǎng ,V,"to appreciate, to enjoy","thưởng thức, ngắm nhìn",ชื่นชมเพลิดเพลิน,တန်ဖိုးထားရန်၊ ပျော်ရွှင်ရန်,感謝する、楽しむ,"감상하다, 즐기다","apreciar, disfrutar","menghargai, menikmati",3
4-2,24,美麗,měilì,Vs,beautiful,đẹp,สวยงาม (suai ngam),လှပ (hla pa),美しい (utsukushii),아름답다 (areumdapda),hermoso,cantik,3
4-2,25,鈴木,Língmù,,Japanese last name: Lingmu (Japanese: Suzuki),họ Suzuki (tiếng Nhật),นามสกุลภาษาญี่ปุ่น: Lingmu (ญี่ปุ่น: Suzuki),ဂျပန်အမည်- Lingmu (ဂျပန်- ဆူဇူကီး),日本人の姓: Lingmu (日本語: 鈴木),일본 성: Lingmu (일본어: Suzuki),Apellido japonés: Lingmu (japonés: Suzuki),Nama belakang Jepang: Lingmu (Jepang: Suzuki),3
4-2,26,赤崁樓,Chìkǎn lóu ,,"Chihkan Tower, a.k.a. Fort Provintia (stronghold built by the Dutch, in Tainan, in the 17th century)",Tháp Chihkan (Pháo đài Provintia),หอคอยจื่อคั่น หรือที่รู้จักกันในชื่อป้อมโปรวินเทีย (ฐานที่มั่นที่สร้างโดยชาวดัตช์ในไถหนาน ในศตวรรษที่ 17),"Chihkan Tower, a.k.a. Fort Provintia (၁၇ ရာစုတွင် ဒတ်ခ်ျလူမျိုး၊ Tainan တွင် တည်ဆောက်ခဲ့သော အမာခံနယ်မြေ)",赤嵌樓、別名プロビンティア要塞（17 世紀にオランダ人が台南に建てた要塞）,"적감루, 일명 프로빈티아 요새(17세기 타이난에 네덜란드인이 건설한 요새)","Torre Chihkan, también conocida como Fuerte Provintia (fortaleza construida por los holandeses, en Tainan, en el siglo XVII)","Menara Chihkan, alias Benteng Provintia (benteng yang dibangun Belanda, di Tainan, pada abad ke-17)",3
4-2,27,留下來,liú xià lái,,to leave behind,để lại,ที่จะทิ้งไว้ข้างหลัง,ချန်ထားခဲ့ပါ။,後に残す,뒤에 남겨두고,dejar atrás,meninggalkan,3
4-2,28,木造,mùzào,,wooden; made from wood,làm bằng gỗ,ทำด้วยไม้; ทำจากไม้,သစ်သား; သစ်သားဖြင့်ပြုလုပ်ထားသည်။,木製;木で作られた,멍청한; 나무로 만든,de madera; hecho de madera,kayu; terbuat dari kayu,3
4-2,29,非去不可,fēiqù bùkě,,Visiting (it) is a must!!,Nhất định phải đi!,มาเยือน(มัน)ต้องได้!!,လာရောက်လည်ပတ်ရန် လိုအပ်သည်!!,ぜひ訪れてみてください!!,방문은 필수입니다!!,¡¡Visitarlo es imprescindible!!,Mengunjunginya adalah suatu keharusan!!,3
5-1,1,流行,liúxíng,Vst,popular,"thịnh hành, phổ biến",เป็นที่นิยม,နာမည်ကြီး,人気のある,인기 있는,popular,populer,3
5-1,2,唉,āi,Ptc,Oh no! Oh boy!,Ôi trời! (thể hiện thất vọng),ไม่นะ! โอ้เด็ก!,အိုး! အို ကောင်လေး!,なんてこった！ああ、少年よ！,안 돼! 오 이런!,"¡Oh, no! ¡Ay chico!",Oh tidak! Ya ampun!,3
5-1,3,演唱會,yǎnchànghuì,N,concert,buổi hòa nhạc,คอนเสิร์ต,ဖျော်ဖြေပွဲ,コンサート,콘서트,concierto,konser,3
5-1,4,塞車,sāichē,Vs,"net congestion, jam","tắc đường, kẹt xe",เน็ตติดขัด,"net congestion, ယို",ネットの混雑、ジャム,"순 혼잡, 잼","congestión neta, atasco","kemacetan bersih, macet",3
5-1,5,上線,shàngxiàn,V-sep,"to log in, go online","lên mạng, đăng nhập",เพื่อเข้าสู่ระบบออนไลน์,အကောင့်ဝင်ရန်၊ အွန်လိုင်းသွားပါ။,ログインするにはオンラインにします,로그인하려면 온라인으로 접속하세요,"iniciar sesión, conéctese","masuk, online",3
5-1,6,成功,chénggōng,Vp,to succeed,thành công,ที่จะประสบความสำเร็จ,အောင်မြင်ဖို့,成功する,성공하다,tener éxito,berhasil,3
5-1,7,倒楣,dǎoméi,Vs,"out of luck, down on one's luck","xui xẻo, đen đủi","โชคไม่ดี, ตกอยู่กับโชคของตน",ကံက ဖောက်ပြန်၊,運が悪い、運が悪い,"운이 좋지 않은, 운이 좋지 않은","sin suerte, sin suerte","kurang beruntung, kurang beruntung",3
5-1,8,樂團,yuètuán,N,(music) band,ban nhạc (âm nhạc),(ดนตรี) วงดนตรี,(ဂီတ) တီးဝိုင်း,(音楽)バンド,(음악) 밴드,(música) banda,(musik) band,3
5-1,9,唱,chàng,V,to sing,hát,ร้องเพลง (rong phleng),သီချင်းဆိုသည် (thi chin so thi),歌う (utau),노래하다 (noraehada),cantar,bernyanyi,3
5-1,10,興奮,xīngfèn,Vs,excited,phấn khích,ตื่นเต้น,စိတ်လှုပ်ရှား,興奮した,흥분한,entusiasmado,bersemangat,3
5-1,11,迷,mí,Vst,"to be enamored with, be into, be enchanted by, be obsessed with","mê, say mê","หลงใหล, หลงใหล, หลงใหล, หมกมุ่นอยู่กับ","စွဲလန်းခြင်း, စွဲလမ်းခြင်း, စွဲလန်းခြင်း, စွဲလမ်းခြင်းရှိခြင်း။",夢中になる、夢中になる、夢中になる、夢中になる,"매혹되다, 매료되다, 매료되다, 집착하다","estar enamorado de, estar en, estar encantado por, estar obsesionado con","terpikat, menjadi, terpesona, terobsesi",3
5-1,12,歌詞,gēcí,N,lyrics,lời bài hát,เนื้อเพลง,သီချင်းစာသား,歌詞,가사,lírica,lirik,3
5-1,13,難過,nánguò,Vs,sad,buồn,เศร้า,ဝမ်းနည်း,悲しい,슬픈,triste,sedih,3
5-1,14,不如,bùrú,Vst,inferior to,không bằng,ด้อยกว่า,ယုတ်ညံ့တယ်။,より劣る,열등하다,inferior a,lebih rendah dari,3
5-1,15,現場,xiànchǎng,N,live; lit. on-site,"tại chỗ, trực tiếp",สด; แท้จริงแล้ว ณ ไซต์งาน,အသက်ရှင်; စာသားအရ၊ ဆိုက်တွင်,ライブ;文字通り、現場で,살다; 말 그대로 현장에서,"vivir; literalmente, en el sitio","hidup; secara harfiah, di tempat",3
5-1,16,跳,tiào,Vi,to jump,nhảy,ที่จะกระโดด,ခုန်ဖို့,ジャンプする,점프하다,saltar,melompat,3
5-1,17,整,zhěng,Det,"entire, whole","toàn bộ, cả",ทั้งหมดทั้งหมด,တစ်ခုလုံး၊,全体、全体,"전체, 전체","entero, entero","keseluruhan, keseluruhan",3
5-1,18,震動,zhèndòng,Vi,"to vibrate, to shake","rung, lắc","สั่น, เขย่า",တုန်ခါရန်၊ လှုပ်ရန်,振動する、震える,"진동하다, 흔들다","vibrar, temblar","bergetar, bergetar",3
5-1,19,漫畫,mànhuà,N,comics,truyện tranh,การ์ตูน,ရုပ်ပြ,漫画,지세도,historietas,komik,3
5-1,20,內容,nèiróng,N,content,nội dung,เนื้อหา,အကြောင်းအရာ,コンテンツ,콘텐츠,contenido,isi,3
5-1,21,色情,sèqíng,Vs,pornographic; obscene,khiêu dâm; tục tĩu,สื่อลามก; ลามก,ညစ်ညမ်းရုပ်ပုံများ; ညစ်ညမ်းသော,ポルノ;わいせつな,포르노; 역겨운,pornográfico; obsceno,porno; cabul,3
5-1,22,放鬆,fàngsōng,Vst,to relax,thư giãn,เพื่อผ่อนคลาย,အပန်းဖြေရန်,リラックスする,긴장을 풀다,relajarse,bersantai,3
5-1,23,心情,xīnqíng,N,mood,tâm trạng,อารมณ์,စိတ်ခံစားချက်,気分,분위기,ánimo,suasana hati,3
5-1,24,五月天,Wǔyuètiān,,Mayday (name of a Taiwanese rock band),Ban nhạc Mayday (Đài Loan),Mayday (ชื่อวงดนตรีร็อคไต้หวัน),Mayday (ထိုင်ဝမ်ရော့ခ်ဂီတအဖွဲ့၏အမည်),Mayday（台湾のロックバンド名）,메이데이(대만 록밴드 이름),Mayday (nombre de una banda de rock taiwanesa),Mayday (nama band rock Taiwan),3
5-1,25,算了,suàn le,,forget it; let it be!,thôi kệ đi,ลืมมันซะ; ช่างมัน!,မေ့လိုက်ပါ; ရှိပါစေတော့!,忘れて;なるがままに！,잊어버리세요. 그렇게 놔둬!,olvídalo; ¡déjalo ser!,lupakan; biarlah!,3
5-1,26,受歡迎,shòu huānyíng,,well-received; well-liked; popular,"được ưa chuộng, nổi tiếng",ได้รับการตอบรับอย่างดี; ชอบ; เป็นที่นิยม,ကောင်းစွာလက်ခံ; နှစ်သက်ဖွယ်ကောင်းသော၊ နာမည်ကြီး,好評です。好評。人気のある,호평을 받았습니다. 좋아하는; 인기 있는,bien recibido; muy querido; popular,diterima dengan baik; sangat disukai; populer,3
5-1,27,擠滿,jǐmǎn,,"crowded with, packed with","chật kín, đông nghẹt",อัดแน่นไปด้วย,ပြည့်ကျပ်နေသည်၊,混んでいる、詰まっている,"붐비다, 가득하다","lleno de, lleno de","penuh sesak dengan, penuh dengan",3
5-1,28,租書店,zūshū diàn,,book rental store,cửa hàng cho thuê sách,ร้านเช่าหนังสือ,စာအုပ်အငှားဆိုင်,レンタルブックストア,도서대여점,tienda de alquiler de libros,toko persewaan buku,3
5-1,29,平板電腦,píngbǎn diànnǎo,,tablet computer,máy tính bảng,คอมพิวเตอร์แท็บเล็ต,တက်ဘလက်ကွန်ပျူတာ,タブレットコンピュータ,태블릿 컴퓨터,tableta,komputer tablet,3
5-1,30,智慧型手機,zhìhuìxíng shǒujī,,smartphone,điện thoại thông minh,สมาร์ทโฟน,စမတ်ဖုန်း,スマートフォン,스마트폰,teléfono inteligente,telepon pintar,3
5-1,31,殺時間,shā shíjiān,,to kill time,giết thời gian,เพื่อฆ่าเวลา,အချိန်ကိုသတ်ရန်,時間を潰すために,시간을 죽이기 위해,matar el tiempo,membunuh waktu,3
5-1,32,漫畫展,mànhuà zhǎn,,comic (book) exhibition,triển lãm truyện tranh,นิทรรศการการ์ตูน (หนังสือ),ရုပ်ပြ (စာအုပ်) ပြပွဲ,コミック（書籍）展示会,만화(책) 전시회,exposición de cómics (libros),pameran komik (buku),3
5-1,33,來不及,lái bù jí,,"not be in time for, not make it on time",không kịp,"ไม่ทัน, ทำไม่ทัน",အချိန်မမီ၊ အချိန်မီမဖြစ်စေနဲ့,間に合わない、間に合わない,"시간에 맞추지 못하다, 시간에 맞추지 못하다","no llegar a tiempo, no llegar a tiempo","tidak tepat waktu, tidak tepat waktu",3
5-2,1,撞衫,zhuàngshān,Vs,"""wardrobe clash"", more than one person unintentionally wearing duplicate garments","""đụng hàng"" (mặc trùng quần áo)","""การปะทะกันในตู้เสื้อผ้า"" หมายถึง คนมากกว่าหนึ่งคนสวมเสื้อผ้าซ้ำกันโดยไม่ได้ตั้งใจ","""wardrobe clash""၊ လူတစ်ဦးထက်ပိုသော အဝတ်အစားများကို မရည်ရွယ်ဘဲ ၀တ်ဆင်ထားသည်။",「ワードローブの衝突」、複数の人が意図せずに重複した衣服を着ること,"""옷장 충돌"", 두 명 이상의 사람이 의도치 않게 중복된 옷을 입고 있음","""Choque de vestuario"", más de una persona vistiendo involuntariamente prendas duplicadas","""lemari pakaian bentrok"", lebih dari satu orang secara tidak sengaja mengenakan pakaian duplikat",3
5-2,2,它,tā,N,it,nó (dùng cho đồ vật),มัน,အဲဒါ,それ,그것,él,dia,3
5-2,3,塞,sāi,V,"to stuff, cram, squeeze (into)","nhét, nhồi","ยัด, อัด, บีบ (เข้า)",ပစ္စည်းထည့်ရန်၊ ညှစ်ရန်၊ ညှစ်ရန်၊,詰め込む、詰め込む、押し込む,"(속으로) 채우다, 벼락치기하다, 짜내다","rellenar, meter, apretar (en)","mengisi, menjejalkan, memeras (ke dalam)",3
5-2,4,當季,dāngjì,N,in season,trong mùa (thời vụ),ในฤดูกาล,ရာသီ၌,季節に,계절에,en estación,di musim,3
5-2,5,款式,kuǎnshì,N,style (of clothes),kiểu dáng (quần áo),สไตล์ (ของเสื้อผ้า),စတိုင် (အဝတ်အစား),（服装の）スタイル,(옷의) 스타일,estilo (de ropa),gaya (pakaian),3
5-2,6,連續劇,liánxùjù,N,TV series,phim truyền hình dài tập,ละครโทรทัศน์,တီဗီစီးရီး,連続テレビ番組,TV 시리즈,Series de TV,Serial TV,3
5-2,7,主角,zhǔjiǎo ,N,"leading role, leading actor",vai chính,"บทบาทนำ, นักแสดงนำ",ဇာတ်လိုက်၊ ဦးဆောင်မင်းသား,主役、主役,"주연, 주연배우","papel protagonista, actor protagonista","peran utama, aktor utama",3
5-2,8,甜美,tiánměi,Vs,"sweet and cute, lovely","ngọt ngào, dễ thương",หวานและน่ารักน่ารัก,ချစ်စရာကောင်းတယ်၊ ချစ်စရာကောင်းတယ်။,甘くて可愛い、素敵,달콤하고 귀엽고 사랑스러워요,"dulce y linda, encantadora","manis dan imut, cantik",3
5-2,9,寄,jì,V,to mail,"gửi (thư, bưu phẩm)",เพื่อส่งจดหมาย,mail သို့,メールする,우편으로,enviar por correo,mengirim surat,3
5-2,10,居然,jūrán,Adv,"unexpectedly, counter to assumption","bất ngờ, không ngờ",ขัดแย้งกับสมมติฐานโดยไม่คาดคิด,မမျှော်လင့်ဘဲ၊ ယူဆချက်နှင့် ဆန့်ကျင်သည်။,予想外に、想定に反して,예상외로 가정과 반대,"inesperadamente, en contra de la suposición","tiba-tiba, bertentangan dengan asumsi",3
5-2,11,害,hài,V,adversely impacting somebody so that they…,làm cho (ai đó gặp chuyện gì),ส่งผลเสียต่อใครบางคนจนพวกเขา...,တစ်စုံတစ်ဦးကို ဆိုးဆိုးရွားရွား ထိခိုက်စေသော...,誰かに悪影響を及ぼして…,누군가에게 부정적인 영향을 미치므로…,impactar negativamente a alguien para que.,berdampak buruk pada seseorang sehingga mereka…,3
5-2,12,既然,jìrán,Conj,"since, given that…","vì (rằng), bởi vì",เนื่องจากว่า...,ပေးထားကတည်းက…,それ以来…,그 이후로…,"ya que, dado que…","sejak itu, mengingat itu…",3
5-2,13,服裝,fúzhuāng,N,"clothing, garments","trang phục, quần áo",เสื้อผ้าเครื่องแต่งกาย,အဝတ်အထည်၊,衣類、衣類,"의류, 의복","ropa, prendas","pakaian, garmen",3
5-2,14,媒體,méitǐ,N,the media,truyền thông,สื่อ,မီဒီယာ,メディア,언론,los medios,media,3
5-2,15,方式,fāngshì,N,"method, ways","phương thức, cách thức",วิธีการวิธี,နည်းလမ်း၊ နည်းလမ်းများ,方法、方法,"방법, 방식","método, maneras","metode, cara",3
5-2,16,吸引,xīyǐn,Vst,"to attract, to draw",thu hút,เพื่อดึงดูดเพื่อวาด,ဆွဲဆောင်ရန်၊ ဆွဲရန်,引き寄せる、引き寄せる,"끌다, 끌다","atraer, atraer","menarik, menggambar",3
5-2,17,避免,bìmiǎn,V,to avoid,tránh,เพื่อหลีกเลี่ยง,ရှောင်ရန်,避けるために,피하기 위해,evitar,menghindari,3
5-2,18,包包,bāobāo,N,"bag, purse",túi xách,"กระเป๋า, กระเป๋าเงิน",အိတ်၊ ပိုက်ဆံအိတ်,バッグ、財布,"가방, 지갑","bolso, bolso","tas, dompet",3
5-2,19,商人,shāngrén,N,businessperson,"thương nhân, doanh nhân",นักธุรกิจ,စီးပွားရေးသမား,実業家,사업가,empresario,pebisnis,3
5-2,20,產品,chǎnpǐn,N,product,sản phẩm,ผลิตภัณฑ์,ထုတ်ကုန်,製品,제품,producto,produk,3
5-2,21,電子,diànzǐ,N,electronics,điện tử,อิเล็กทรอนิกส์,လျှပ်စစ်ပစ္စည်း,エレクトロニクス,전자 제품,electrónica,elektronik,3
5-2,22,市場,shìchǎng,N,market,thị trường,ตลาด,စျေးကွက်,市場,시장,mercado,pasar,3
5-2,23,新型,xīnxíng,Vs-attr,new style,kiểu mới,สไตล์ใหม่,ပုံစံအသစ်,新しいスタイル,신력,nuevo estilo,gaya baru,3
5-2,24,落伍,luòwǔ,Vs,"behind the times, passé, old-fashioned",lỗi thời,"ล้าหลัง, ผ่านไป, ล้าสมัย",ခေတ်၏နောက်ကွယ်၊ ဖြတ်သန်းမှု၊ ခေတ်ဟောင်း,時代遅れ、時代遅れ、時代遅れ,"시대에 뒤처진, 시대에 뒤처진, 구식의","Atrasado en los tiempos, pasado de moda, pasado de moda","ketinggalan jaman, ketinggalan jaman, kuno",3
