課-序號,序號,生詞,漢拼,詞類,英譯,越譯,冊,
4-1,2,獨門,dúmén,Vs-attr,"unique, special, (below) business without competitors","độc đáo, đặc biệt, (dưới đây) việc kinh doanh không có đối thủ",6,
4-1,3,人際,rénjì,Vs-attr,interpersonal,giữa các cá nhân,6,
4-1,4,銷售,xiāoshòu,V/N,to sell; sales,bán; việc bán hàng,6,
4-1,5,暢銷,chàngxiāo,Vs,"to sell well, best seller","bán chạy, hàng bán chạy nhất",6,
4-1,6,謙稱,qiānchēng,V,"humbly refer to oneself, modestly say (about oneself)",khiêm tốn nói về bản thân,6,
4-1,7,抱持,bàochí,V,to maintain,duy trì,6,
4-1,8,哲學,zhéxué,N,philosophy,triết lý,6,
4-1,9,讀者,dúzhě,N,reader (of books and newspapers),độc giả,6,
4-1,10,踏出,tàchū,V,take a step forward,tiến một bước,6,
4-1,11,悅耳,yuè’ěr,Vst,"pleasant sounding, pleasant to the ears","nghe êm tai, dễ nghe",6,
4-1,12,熱忱,rèchén,N,enthusiasm,sự nhiệt tình,6,
4-1,13,不妨,bùfáng,Adv,"might as well, there's no harm in","không ngại, cứ việc",6,
4-1,14,好比,hǎobǐ,Vst,"for instance, like, such as","ví dụ, như là",6,
4-1,15,告別,gàobié,Vi,"say goodbye, bid farewell",nói lời tạm biệt,6,
4-1,16,記住,jìzhù,V,remember,nhớ,6,
4-1,17,對方,duìfāng,N,"the other party, the other person","đối phương, người kia",6,
4-1,18,宴會,yànhuì,N,"banquet, feast","bữa tiệc, yến tiệc",6,
4-1,19,自顧自(地),zìgùzì(de),Adv,"only thinking about yourself, without taking others into consideration","chỉ nghĩ đến bản thân, không quan tâm đến người khác",6,
4-1,20,講,jiǎng,V,"to talk, to say, to speak","nói chuyện, nói",6,
4-1,21,整整,zhěngzhěng,Adv,fully,một cách đầy đủ,6,
4-1,22,插嘴,chāzuǐ,V-sep,"to interrupt, get a word in edgewise","ngắt lời, chen ngang",6,
4-1,23,餘地,yúdì,N,"room for, opportunity to","chỗ cho, cơ hội để",6,
4-1,24,以致（於）,yǐzhì (yú) ,Conj,"so that, as a result","để mà, kết quả là",6,
4-1,25,同桌 ,tóngzhuō ,Vi,to sit at the same table,ngồi cùng bàn,6,
4-1,26,罰站,fázhàn,V-sep,to be punished by being made to stand,bị phạt bằng cách bắt đứng,6,
4-1,27,聽教,tīngjiào,Vi,"to listen (somebody's ""preaching"", advice, etc.), be read the riot act","nghe (ai đó ""giảng đạo"", khuyên bảo...)",6,
4-1,28,似地,sìde,Ptc,"as if, like","như thể, như là",6,
4-1,29,凝滯,níngzhì,Vs,stagnated,trì trệ,6,
4-1,30,一吐為快,yìtǔ wéikuài,Id,"spit it out, get something off your chest, here: speak without hesitation, speak your fill","nói ra, giãi bày, ở đây: nói không do dự, nói hết",6,
4-1,31,提問,tíwèn,Vi,to ask a question,đặt câu hỏi,6,
4-1,1,黑幼龍,Hēi Yòulóng,,"John Hei (the Greater China Group Leader of Carnegie training, who introduced Carnegie training to Taiwan in 1987, 1940-)","John Hei (Trưởng nhóm Khu vực Greater China của Carnegie, người đưa đào tạo Carnegie đến Đài Loan năm 1987, 1940-)",6,
4-1,2,卡內基,Kǎnèijī,,"Dale Carnegie (an American writer and lecturer and the developer of famous courses in self-improvement, salesmanship, corporate training, public speaking, and interpersonal skills, 1888-1955)","Dale Carnegie (nhà văn, diễn giả người Mỹ, 1888-1955)",6,
4-2,1,心坎,xīnkǎn,N,"from the bottom of one's heart, one's heart of hearts","từ tận đáy lòng, từ trong tim",6,
4-2,2,本質,běnzhí,N,"nature, real self","bản chất, con người thật",6,
4-2,3,驅策,qūcè,V,to drive,thúc đẩy,6,
4-2,4,深切,shēnqiè , Vs,"deep, heartfelt","sâu sắc, chân thành",6,
4-2,5,真心,zhēnxīn,Adv,"genuinely, sincerely",một cách chân thành,6,
4-2,6,可想而知,kěxiǎng érzhī,Id,as you can easily imagine,như bạn có thể dễ dàng tưởng tượng,6,
4-2,7,人緣,rényuán,N,interpersonal popularity ,mức độ được yêu mến trong giao tiếp,6,
4-2,8,命中,mìngzhòng,Vpt,to hit (the mark),trúng (mục tiêu),6,
4-2,9,成就,chéngjiù,N,achievement,thành tựu,6,
4-2,10,真切,zhēnqiè,Vs,sincere,chân thành,6,
4-2,11,性格,xìnggé,N,"character, personality","tính cách, nhân cách",6,
4-2,12,愛心,àixīn,N,"compassion, loving heart","lòng trắc ẩn, tấm lòng nhân ái",6,
4-2,13,口香糖,kǒuxiāngtáng,N,"gum, chewing gum",kẹo cao su,6,
4-2,14,力道,lìdào,N,"strength, power",sức mạnh,6,
4-2,15,發自,fāzì,Vst,"originate from, from, s/t finds its source in","bắt nguồn từ, từ, cái gì đó có nguồn gốc từ",6,
4-2,16,企圖,qìtú,N,ulterior motives,động cơ không trong sáng,6,
4-2,17,失效,shīxiào,Vp,"to produce no results, to become invalid","không có kết quả, trở nên vô hiệu",6,
4-2,18,下屬,xiàshǔ,N,subordinate,cấp dưới,6,
4-2,19,責任感,zérèngǎn,N,sense of responsibility,ý thức trách nhiệm,6,
4-2,20,隨後,suíhòu,Adv,subsequently,sau đó,6,
4-2,21,拜託,bàituō,V,"please, I beg you","xin, tôi xin bạn",6,
4-2,22,別有居心,biéyǒu jūxīn,Id,"to have ulterior motives, have a less than respectable agenda","có động cơ không trong sáng, có ý đồ không đàng hoàng",6,
4-2,23,適得其反,shìdé qífǎn,Id,"to have unintended results, backfire, be counterproductive","gây ra kết quả ngoài ý muốn, phản tác dụng",6,
4-2,24,小看,xiǎokàn,Vst,"to belittle, to look down on, to underestimate","coi thường, xem nhẹ",6,
4-2,25,威力,wēilì,N,"power, force","quyền lực, sức mạnh",6,
4-2,26,予,yǔ,V,"to give, to bestow with (classical Chinese)","ban cho, trao cho (văn ngôn)",6,
4-2,27,深刻,shēnkè,Vs,"deep, profound",sâu sắc,6,
4-2,28,互動,hùdòng,Vi,to interact,tương tác,6,
4-2,29,定下,dìngxià,V,"to commit to, to establish","cam kết, thiết lập",6,
4-2,30,贏得,yíngdé,Vpt,to win over,"thuyết phục, giành được sự ủng hộ",6,
4-2,31,藉著,jièzhe,Prep,"by means of, relying on","bằng cách, dựa vào",6,
4-2,32,驅動力,qūdònglì,N,driving force,động lực thúc đẩy,6,
4-2,1,Wēilián Zhānmǔshì,,,"William James (an American philosopher and psychologist, and one of the leading thinkers of the late nineteenth century, while others have labeled him the ""Father of American psychology"", 1842-1910)","William James (nhà triết học, tâm lý học người Mỹ, 1842-1910)",6,
4-2,2,Àisēnháo,,,"Dwight D. Eisenhower (the 34th President of the United States from 1953 to 1961, 1890-1969)","Dwight D. Eisenhower (Tổng thống thứ 34 của Hoa Kỳ, 1890-1969)",6,
4-3,1,機緣,jīyuán,N,connections to great opportunities,kết nối với những cơ hội lớn,6,
4-3,2,飯店,fàndiàn,N,"hotel (modern, especially in Taiwan)","khách sạn (hiện đại, đặc biệt ở Đài Loan)",6,
4-3,3,伸手,shēnshǒu,V,to reach out one's hand,đưa tay ra,6,
4-3,4,名片,míngpiàn,N,business card,danh thiếp,6,
4-3,5,正,zhèng,Adv,"just, exactly","vừa đúng, chính xác",6,
4-3,6,夢寐以求,mèngmèi yǐqiú,Id,dream (as in ‘a dream job’),giấc mơ (như trong 'công việc mơ ước'),6,
4-3,7,直覺(地),zhíjué (de),Adv,intuitively,một cách trực giác,6,
4-3,8,淡季,dànjì,N,"low season, off season",mùa thấp điểm,6,
4-3,9,吃了一驚,chīle yìjīng,Ph,"be greatly surprised, taken aback, caught off guard","rất ngạc nhiên, bất ngờ",6,
4-3,10,忠誠,zhōngchéng,Vs/N,"faithful; faithfulness, fidelity",trung thành; lòng trung thành,6,
4-3,11,跳槽,tiàocáo,Vi,"to change jobs, go job-hopping","thay đổi công việc, nhảy việc",6,
4-3,12,等候,děnghòu,V,"wait, wait for (formal)",chờ đợi (trang trọng),6,
5-1,1,開闊,kāikuò,Vs,"wide, expansive","rộng, mênh mông",6,
5-1,2,轉動,zhuǎndòng,Vi,to revolve,xoay quanh,6,
5-1,1,共通,gòngtōng,Vs-attr,"common, universal","phổ biến, phổ thông",6,
5-1,2,水果攤,shuǐguǒtān,N,fruit stand,sạp trái cây,6,
5-1,3,瓜香果豔,guāxiāng guǒyàn,Ph,filled with the fragrances and beauty of various types of fruit,tràn ngập hương thơm và vẻ đẹp của các loại trái cây,6,
5-1,4,常客,chángkè,N,regular customer,khách hàng quen,6,
5-1,5,秤,chèng,V,to weigh,cân,6,
5-1,6,手擺腳動,shǒubǎi jiǎodòng,Ph,"to gesticulate, talk with your hands (and feet)",dùng tay chân diễn tả khi nói,6,
5-1,7,身陷,shēnxiàn,Vst,to find oneself in (a bad situation),rơi vào (tình huống xấu),6,
5-1,8,迷宮,mígōng,N,maze,mê cung,6,
5-1,9,文法,wénfǎ,N,grammar,ngữ pháp,6,
5-1,10,濃重,nóngzhòng,Vs,"heavy, thick (e.g., accent, nasal sound)","nặng, đậm (ví dụ: giọng, ngữ điệu)",6,
5-1,11,回覆,huífù,V,"to answer, to respond","trả lời, phản hồi",6,
5-1,12,焦急,jiāojí,Vs,anxious,lo lắng,6,
5-1,13,催熟,cuīshóu,V,"to accelerate the ripening, to ripen",thúc chín,6,
5-1,14,急忙,jímáng,Adv,"hurriedly, in a hurry","vội vã, hối hả",6,
5-1,15,臨時,línshí,Vs-attr/ Adv,"temporary, impromptu","tạm thời, ứng biến",6,
5-1,16,口譯,kǒuyì,N/V,(oral) interpretation; to interpret,(thông dịch) bằng lời nói; phiên dịch,6,
5-1,17,達成,dáchéng,Vpt,"to realize, to reach","nhận ra, đạt được",6,
5-1,18,道謝,dàoxiè,V-sep,"to say thank to, to express appreciation to","nói lời cảm ơn, bày tỏ sự cảm kích",6,
5-1,19,面前,miànqián,N,"in front of, before","trước mặt, trước",6,
5-1,20,紊亂,wènluàn,Vs,"in a mess, in chaos, all mixed up","hỗn độn, lộn xộn",6,
5-1,21,錯亂,cuòluàn,Vs,"in disorder, in confusion","rối loạn, lộn xộn",6,
5-1,22,人家,rénjiā,N,other people,người khác,6,
5-1,23,校長,xiàozhǎng,N,"principal (primary, secondary school), president (university)","hiệu trưởng (trường tiểu học, trung học), chủ tịch (đại học)",6,
5-1,24,旅途,lǚtú,N,"trip, travels","chuyến đi, hành trình",6,
5-1,25,勞累,láolèi,Vs,"tired, tiring",mệt mỏi,6,
5-1,26,傲慢,àomàn,Vs,arrogant,kiêu ngạo,6,
5-1,27,皺眉,zhòuméi,V-sep,"to wrinkle one's eyebrows, to frown","nhíu mày, cau mày",6,
5-1,28,標識,biāozhì,N,"mark, logo, marking, sign","dấu hiệu, logo, ký hiệu",6,
5-1,29,國際觀,guójìguān,N,global perspective,góc nhìn toàn cầu,6,
5-1,30,接軌,jiēguǐ,Vi,"to integrate with (another entity), to get in step with, (lit. connect rails)","kết nối với (một thực thể khác), hòa nhập",6,
5-1,31,身在,shēnzài,Vst,"(of a person) located, to be (somewhere)","(người) ở tại, hiện diện tại",6,
5-1,1,柏林,bólín,,Berlin,Berlin,6,
5-1,2,土耳其,tǔěrqí,,Turkey,Thổ Nhĩ Kỳ,6,
5-2,1,眼見,yǎnjiàn,V,"seeing that, to observe","nhận thấy, quan sát",6,
5-2,2,心急,xīnjí,Vs,"anxious, agitated","lo lắng, bồn chồn",6,
5-2,3,浪潮,làngcháo,N,"wave, trend","làn sóng, xu hướng",6,
5-2,4,拋,pāo,V,"to toss, to throw, cast aside","ném, vứt bỏ",6,
5-2,5,淘汰,táotài,Vpt,"to eliminate (through competition), weed out","loại bỏ (thông qua cạnh tranh), đào thải",6,
5-2,6,督促,dūcù,V,"supervise and urge, to urge","giám sát và thúc giục, thúc giục",6,
5-2,7,背,bèi,V,to memorize,ghi nhớ,6,
5-2,8,單字,dānzì,N,"vocabulary, word",từ vựng,6,
5-2,9,倍增,bèizēng,Vp,to increase or improve exponentially,tăng hoặc cải thiện theo cấp số nhân,6,
5-2,10,限於,xiànyú,Vst,limited to,giới hạn trong,6,
5-2,11,遼闊,liáokuò,Vs,"expansive, vast","rộng lớn, bao la",6,
5-2,12,之外,zhīwài,N,"other than, in addition to","ngoài ra, bên cạnh đó",6,
5-2,13,境地,jìngdì,N,"circumstances, situation, condition","hoàn cảnh, tình huống, điều kiện",6,
5-2,14,孤立,gūlì,Vs,isolated,bị cô lập,6,
5-2,15,賽事,sàishì,N,"competition, match, race, games","cuộc thi, trận đấu, trò chơi",6,
5-2,16,島嶼,dǎoyǔ,N,island,hòn đảo,6,
5-2,17,四處,sìchù,Adv,everywhere,khắp nơi,6,
5-2,18,拼音,pīnyīn,N,"Romanization, spelling","cách phiên âm, đánh vần",6,
5-2,19,錯誤百出,cuòwù bǎichū,Ph,riddled with mistakes,đầy lỗi sai,6,
5-2,20,精良,jīngliáng,Vs,superior,"vượt trội, ưu tú",6,
5-2,21,前來,qiánlái,Adv,to come over,"tiến đến, bước tới",6,
5-2,22,版本,bǎnběn,N,version,phiên bản,6,
5-2,23,源源不絕,yuányuán bùjué,Ph,"in uninterrupted flow, in continuous stream","không ngừng, liên tục",6,
5-2,24,訪客,fǎngkè,N,visitor,khách tham quan,6,
5-2,25,人文,rénwén,N,"cultural, (below) the humanities","văn hóa, (dưới đây) nhân văn",6,
5-2,26,景觀,jǐngguān,N,"view, landscape, scenery","cảnh quan, phong cảnh",6,
5-2,27,底蘊,dǐyùn,N,"foundation, background","nền tảng, bối cảnh",6,
5-2,28,深厚,shēnhòu,Vs,"deep, solid","sâu sắc, vững chắc",6,
5-2,29,步調,bùdiào,N,pace,nhịp độ,6,
5-2,30,家傳,jiāchuán,Vs-attr,"traditional, local","truyền thống, địa phương",6,
5-2,31,勤讀,qíndú,V,to diligently study,chăm chỉ học tập,6,
5-2,32,書籍,shūjí,N,"books, reading material","sách vở, tài liệu đọc",6,
5-2,33,知曉,zhīxiǎo,Vst,"familiar with, proficient in","thành thạo, giỏi về",6,
5-2,34,勤奮,qínfèn,Adv,diligently and conscientiously,chăm chỉ và tận tâm,6,
5-2,35,駕馭,jiàyù,V,to master,nắm vững,6,
5-2,36,重點,zhòngdiǎn,N,"main point, key point","điểm chính, then chốt",6,
5-2,37,磨損,mósǔn,Vp,to wear away,mài mòn,6,
5-2,38,攪碎,jiǎosuì,V,"to grind, to shred","nghiền, xé nhỏ",6,
5-2,39,翻,fān,V,"to flip through, to turn (the pages of), crack a book","lật giở, mở (trang sách)",6,
5-2,40,字典,zìdiǎn,N,dictionary,từ điển,6,
5-2,41,腦子,nǎozi,N,brain,não bộ,6,
5-2,42,區塊,qūkuài,N,"area, block","khu vực, khu",6,
5-2,43,自大,zìdà,Vs,"arrogant, conceited, swelled-head","kiêu ngạo, tự phụ",6,
5-2,44,獨白,dúbái,N,"monologue, soliloquy",độc thoại,6,
5-2,45,上演,shàngyǎn,V,"to perform, to put on (a performance)","biểu diễn, trình diễn",6,
5-2,46,戲碼,xìmǎ,N,"play, drama","vở kịch, kịch",6,
5-2,1,捷克,Jiékè,,the Czech Republic,Cộng hòa Séc,6,
6-1,1,貓熊,māoxióng,N,panda,gấu trúc,6,
6-1,2,人見人愛,rénjiàn rén’ài,Id,"everybody loves, loved by all",được mọi người yêu thích,6,
6-1,3,征服,zhēngfú,V,"to conquer, to subdue, to vanquish","chinh phục, khuất phục",6,
6-1,4,促進,cùjìn,Vpt,to promote,"quảng bá, thúc đẩy",6,
6-1,5,友好,yǒuhǎo,Vs,"friendly, amicable, cordial","thân thiện, nồng hậu",6,
6-1,6,使者,shǐzhě,N,"envoy, emissary",sứ giả,6,
6-1,7,沾染,zhānrǎn,Vpt,"soiled with, tainted with, stained with","vấy bẩn, nhuốm màu",6,
6-1,8,色彩,sècǎi,N,"colors, hues, flavor, character, slant","màu sắc, sắc thái, tính chất",6,
6-1,9,抵制,dǐzhì,V,to boycott,tẩy chay,6,
6-1,10,繁殖,fánzhí,Vi,"to breed, to reproduce, reproduction","sinh sản, sinh sản",6,
6-1,11,名義,míngyì,N,in the capacity of,với tư cách là,6,
6-1,12,租借,zūjiè,V,to lease,cho thuê,6,
6-1,1,出訪,chūfǎng,V,to pay an official visit to a friendly foreign country,thăm chính thức một nước bạn,6,
6-1,2,風雲女性,fēngyún nǚxìng,Ph,"influential/important women, used in the phrase “Woman of the Year”","những phụ nữ có ảnh hưởng/quan trọng, dùng trong cụm từ ""Người phụ nữ của năm""",6,
6-1,3,全程,quánchéng,Adv,over the entire duration of,trong suốt thời gian,6,
6-1,4,直播,zhíbò,V,to live broadcast,phát sóng trực tiếp,6,
6-1,5,產下,chǎnxià,Vpt    ,to give birth to,sinh con,6,
6-1,6,雙胞胎,shuāngbāotāi,N,twins,sinh đôi,6,
6-1,7,睜眼,zhēngyǎn,V-sep,to open one's eyes,"mở mắt, mở rộng tầm mắt",6,
6-1,8,登上,dēngshàng,Vpt,to ascend to (prominence),vươn lên (nổi bật),6,
6-1,9,頭條,tóutiáo,N,headline,tiêu đề,6,
6-1,10,數位化,shùwèihuà,Vp,"digital, to digitize ","kỹ thuật số, số hóa",6,
6-1,11,追溯,zhuīsù,V,to trace back to,truy ngược về,6,
6-1,12,至,zhì,Prep,"to, up to ","đến, cho đến",6,
6-1,13,何時何地,héshí hédì,Ph,"anytime, anywhere","bất cứ lúc nào, bất cứ nơi đâu",6,
6-1,14,女皇,nǚhuáng,N,"empress, queen","nữ hoàng, hoàng hậu",6,
6-1,15,贈送,zèngsòng,V,to give (as a gift),tặng (như một món quà),6,
6-1,16,記載,jìzài,V/N,"to record, to put down in writing, records","ghi lại, ghi chép lại",6,
6-1,17,夫人,fūrén,N,"wife of a prominent figure, lady, madam","phu nhân của nhân vật nổi tiếng, quý bà",6,
6-1,18,表,biǎo,V,"to show (gratitude, etc.)","bày tỏ (lòng biết ơn, v.v.)",6,
6-1,19,救濟,jiùjì,V,"to provide relief to, relief","cứu trợ, viện trợ",6,
6-1,20,謝意,xièyì,N,"gratitude, thankfulness, appreciation","lòng biết ơn, sự cảm kích",6,
6-1,21,自此,zìcǐ,Adv,"from then on, thereupon",từ đó trở đi,6,
6-1,22,政權,zhèngquán,N,"political power, regime",chính quyền,6,
6-1,23,欲,yù,Vaux,"to want to, to wish to, to desire to","muốn, ước muốn",6,
6-1,24,藉此,jiècǐ,Ph,(literary) thereby,(văn ngôn) do đó,6,
6-1,25,雙邊,shuāngbiān,Vs-attr,"bilateral, both parties  ","song phương, cả hai bên",6,
6-1,26,稀有,xīyǒu,Vs,rare,hiếm,6,
6-1,27,飼養場,sìyǎngchǎng,N,livestock or poultry farm,trang trại chăn nuôi gia súc/gia cầm,6,
6-1,28,分別,fēnbié,Adv,respectively,tương ứng,6,
6-1,29,貨幣,huòbì,N,"currency, money","tiền tệ, tiền",6,
6-1,30,設,shè,V,"to establish, to set up","thành lập, thiết lập",6,
6-1,31,互,hù,Adv,"(with) each other, mutual (literary)","lẫn nhau, qua lại (văn ngôn)",6,
6-1,32,訪問,fǎngwèn,V,"to visit, to interview; visit, interview","thăm, phỏng vấn; cuộc thăm viếng, phỏng vấn",6,
6-1,33,領取,lǐngqǔ,V,"to collect, to receive","thu thập, nhận",6,
6-1,34,否決,fǒujué,V,to veto,phủ quyết,6,
6-1,35,因而,yīn’ér,Conj,"therefore, as a result","vì vậy, kết quả là",6,
6-1,36,作罷,zuòbà,Vi,to call it quits,"kết thúc, chấm dứt",6,
6-1,1,甜甜,Tiántián,,Tian Tian （貓熊名）,Tian Tian (tên gấu trúc),6,
6-1,2,BBC,BBC,,British Broadcasting Corporation,Đài truyền hình BBC (Anh),6,
6-1,3,美香,Měixiāng,,Mei Xiang（貓熊名）,Mei Xiang (tên gấu trúc),6,
6-1,4,圓仔,Yuánzǎi,,Yuan Zai（貓熊名）,Yuan Zai (tên gấu trúc),6,
6-1,5,唐朝/代,Tángcháo/dài,,Tang Dynasty (618年－907年),Nhà Đường (618-907),6,
6-1,6,武則天,Wǔzétiān,,"Wu Zetian (the only female monarch of China, 624年－705年)","Võ Tắc Thiên (nữ hoàng đế duy nhất của Trung Quốc, 624-705)",6,
6-1,7,天武天皇,Tiānwǔ tiānhuáng,,"Emperor Temmu (the 40th Emperor of Japan, 631年-686年)","Thiên hoàng Temmu (Thiên hoàng thứ 40 của Nhật Bản, 631-686)",6,
6-1,8,宋美齡,Sòng Měilíng,,"Soong May-ling (Madame Chiang Kai-shek, 1897年－2003年)","Tống Mỹ Linh (phu nhân Tưởng Giới Thạch, 1897-2003)",6,
6-1,9,中共,Zhōnggòng,,Communist Party of China (CPC),Đảng Cộng sản Trung Quốc,6,
6-1,10,蘇聯,Sūlián,,the Soviet Union,Liên Xô,6,
6-1,11,北韓,Běihán,,North Korea,Bắc Triều Tiên,6,
6-1,12,邁阿密,Mài’āmì,,Miami,Miami,6,
6-1,13,芝加哥,Zhījiāgē,,Chicago,Chicago,6,
6-1,14,國務院,Guówùyuàn,,State Department (US),Bộ Ngoại giao Hoa Kỳ,6,
6-2,1,出租,chūzū,V,"to rent, for lease; rental, leasing",cho thuê; việc cho thuê,6,
6-2,2,吸金,xījīn,Vi,to bring in (revenue,mang lại (doanh thu),6,
6-2,3,赴,fù,V,to go to (literary),đi đến (văn ngôn),6,
6-2,4,贈與,zèngyǔ,V,to give to,"đưa cho, tặng cho",6,
6-2,5,抵達,dǐdá,Vpt,to arrive at,"đạt đến, đến",6,
6-2,6,冒雨,màoyǔ,Adv,despite the rain,bất chấp mưa,6,
6-2,7,迎接,yíngjiē,V,to welcome,chào đón,6,
6-2,8,首次,shǒucì,Adv,for the first time,lần đầu tiên,6,
6-2,9,見客,jiànkè,V-sep,to meet with guests,tiếp đón khách,6,
6-2,10,達,dá,Vpt,"to reach, up to","lên đến, đạt tới",6,
6-2,11,人次,réncì,N,head count,"số người, số lượng",6,
6-2,12,當局,dāngjú,N,the authorities,nhà chức trách,6,
6-2,13,宣告,xuāngào,V,"to announce, to declare","công bố, tuyên bố",6,
6-2,14,期間,qíjiān,N,"over the course of, whilst ","trong suốt, trong khi",6,
6-2,15,為期,wéiqí,Vst,"lasting a period of, lasting, for a period of","kéo dài trong, kéo dài",6,
6-2,16,巡展,xúnzhǎn,N,exhibition tour,chuyến lưu diễn triển lãm,6,
6-2,17,租金,zūjīn,N,"rental money, leasing fees, rent","tiền thuê, phí cho thuê",6,
6-2,18,有利可圖,yǒulì kětú,Id,"profitable, promise to be profitable","có lợi nhuận, hứa hẹn sinh lời",6,
6-2,19,波,bō,M,a wave of ,một làn sóng,6,
6-2,20,拉鋸,lājù,N,"a see-saw (battle), a close contest","một cuộc cạnh tranh quyết liệt, tỷ số cân bằng",6,
6-2,21,可觀,kěguān,Vs,"considerable (amount of), substantial",đáng kể (về số lượng),6,
6-2,22,收益,shōuyì,N,"earnings, revenue, income","thu nhập, doanh thu",6,
6-2,23,林業,línyè,N,"forestry, forest industry",ngành lâm nghiệp,6,
6-2,24,捕捉,bǔzhuō,V,"to catch, to capture","bắt, bắt giữ",6,
6-2,25,野生,yěshēng,Vs-attr,"wild, feral",hoang dã,6,
6-2,26,呼籲,hūyù,Vi,to call on,kêu gọi,6,
6-2,27,保育,bǎoyù,Vi,"to conserve, conservation","bảo tồn, sự bảo tồn",6,
6-2,28,設立,shèlì,V,"to set up, to establish","thành lập, thiết lập",6,
6-2,29,進展,jìnzhǎn,N/Vi,"progress, to progress ","tiến bộ, tiến triển",6,
6-2,30,近親,jìnqīn,N,close relatives,họ hàng gần,6,
6-2,31,野外,yěwài,N,wilderness,vùng hoang dã,6,
6-2,32,近年,jìnnián,N,in recent years,những năm gần đây,6,
6-2,33,圈養,juànyǎng,Vs-attr,raised in pens,được nuôi trong chuồng,6,
6-2,34,野放,yěfàng,V,to release into the wild,thả về tự nhiên,6,
6-2,35,就算,jiùsuàn,Conj,even if,ngay cả khi,6,
6-2,1,尼克森,Níkèsēn,,"Richard Nixon (the 37th President of U.S.A, 1913年－1994年)","Richard Nixon (Tổng thống thứ 37 của Hoa Kỳ, 1913-1994)",6,
6-2,2,北京,Běijīng,,Beijing,Bắc Kinh,6,
6-2,3,周恩來,Zhōu Ēnlái,,"Zhou Enlai (the 1st to 4th prime minister of the People's Republic of China, 1898年－1976年)","Chu Ân Lai (Thủ tướng đầu tiên của nước Cộng hòa Nhân dân Trung Hoa, 1898-1976)",6,
6-2,4,玲玲,Línglíng,,Ling Ling（貓熊名）,Ling Ling (tên gấu trúc),6,
6-2,5,興興,Xīngxīng,,Xing Xing（貓熊名）,Xing Xing (tên gấu trúc),6,
6-2,6,華盛頓,Huáshèngdùn,,Washington (the capital of U.S.A),Washington (thủ đô của Hoa Kỳ),6,
6-2,7,港澳,Gǎng’ào,,Hong Kong and Macao (Macau),Hồng Kông và Ma Cao,6,
6-2,8,洛杉磯,Luòshānjī,,Los Angeles,Los Angeles,6,
6-2,9,奧運會,Àoyùnhuì,,Olympic Games,Thế vận hội Olympic,6,
6-2,10,永永,Yǒngyǒng,,Yong Yong（貓熊名）,Yong Yong (tên gấu trúc),6,
6-2,11,迎新,Yíngxīn,,Yingxin（貓熊名）,Yingxin (tên gấu trúc),6,
6-2,12,舊金山,Jiùjīnshān,,San Francisco,San Francisco,6,
6-2,13,美國聯邦漁業和野生動物管理局,Měiguó liánbāng yúyè hàn yěshēng dòngwù guǎnlǐ jú,,FWS: United States Fish and Wildlife Service,Cục Cá và Động vật Hoang dã Hoa Kỳ,6,
6-2,14,四川臥龍自然保護區,Sìchuān Wòlóng zìrán bǎohù qū,,Sichuan Wolong National Nature Reserve,Khu bảo tồn Thiên nhiên Quốc gia Wolong Tứ Xuyên,6,
7-1,1,自我,zìwǒ,N,ego-centricity,tính tự cho mình là trung tâm,6,
7-1,2,膨脹,péngzhàng,Vs,"to puff up, to swell up, self-complacent","tự phụ, tự mãn",6,
7-1,3,面貌,miànmào,N,"face, real nature of things","bản chất thật, thực tế",6,
7-1,4,醒悟,xǐngwù,Vp,"to come to one's senses, to wake up (to reality), awakening","tỉnh ngộ, giác ngộ",6,
7-1,5,體會,tǐhuì,Vst,"to know from experience, to truly understand",thấu hiểu qua trải nghiệm,6,
7-1,6,苦澀,kǔsè,Vs/N,bitter; bitterness,đắng cay; nỗi cay đắng,6,
7-1,1,情敵,qíngdí,N,rival in love,đối thủ tình cảm,6,
7-1,2,我行我素,wǒxíng wǒsù,Id,do things your own way,làm theo cách của bạn,6,
7-1,3,未婚,wèihūn,Vs,"unmarried, single",độc thân,6,
7-1,4,立志,lìzhì,Vi,"to determine to become, to resolve to become, to aspire to be","quyết tâm trở thành, quyết tâm trở thành, khao khát trở thành",6,
7-1,5,志向,zhìxiàng,N,"aspiration, ambition","khát vọng, tham vọng",6,
7-1,6,減肥,jiǎnféi,Vi,"to lose weight, weight-loss, on a diet","giảm cân, ăn kiêng",6,
7-1,7,撐,chēng,Vi,"push yourself, last","thúc đẩy bản thân, kiên trì",6,
7-1,8,定下來,dìngxiàlái,Ph,to settle down,ổn định cuộc sống,6,
7-1,9,殘酷,cánkù,Vs,"cruel, brutal","tàn nhẫn, độc ác",6,
7-1,10,當下,dāngxià,N,at a time when ,vào thời điểm,6,
7-1,11,重來,chónglái,Vi,"to redo, to relive, to start over","làm lại, sống lại, bắt đầu lại",6,
7-1,12,鬼東西,guǐdōngxi,Ph,darn thing,thứ chết tiệt,6,
7-1,13,俊男美女,jùnnán měinǚ,Ph,good-looking man and/or woman,người đàn ông/phụ nữ đẹp trai/xinh đẹp,6,
7-1,14,歡喜,huānxǐ,N,"happiness, joy","hạnh phúc, niềm vui",6,
7-1,15,悲傷,bēishāng,N,"sadness, sorrow","nỗi buồn, sự phiền muộn",6,
